Version 1.0,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,
"Public Transfers, Education, Outflows","1,813",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,34,66,106,149,203,255,334,432,549,672,816,975,"1,143","1,340","1,502","1,674","1,819","2,017","2,198","2,421","2,580","2,728","2,771","2,809","2,826","2,895","2,955","3,029","3,078","3,136","3,189","3,246","3,314","3,379","3,418","3,448","3,482","3,524","3,562","3,601","3,590","3,548","3,494","3,438","3,354","3,270","3,181","3,080","2,995","2,956","2,967","3,004","3,055","3,149","3,236","3,324","3,413","3,502","3,537","3,546","3,536","3,518","3,500","3,466","3,435","3,406","3,376","3,346","3,319","3,292","3,266","3,241","3,216","3,191",
"Public Transfers, Health",-3,"2,269","1,601",867,617,501,473,439,445,505,526,537,559,546,494,475,445,410,373,313,258,118,-65,-325,-604,-960,"-1,303","-1,538","-1,756","-2,022","-2,144","-2,196","-2,312","-2,473","-2,516","-2,658","-2,884","-3,011","-2,971","-2,740","-2,700","-2,666","-2,589","-2,715","-2,926","-2,992","-2,972","-2,984","-2,894","-2,908","-2,727","-2,675","-2,708","-2,705","-2,605","-2,394","-2,197","-1,750","-1,355","-1,152",-954,-715,-348,-76,509,964,"1,574","4,426","3,493","4,528","4,950","5,636","6,193","6,594","7,067","7,288","7,614","7,972","8,357","8,672","8,971","9,439","10,113","10,739","10,850","11,680","12,162","13,544","14,936","17,288","19,255","26,545",
"Public Transfers, Health, Inflows","2,216","2,269","1,601",867,617,501,473,439,445,505,526,537,559,546,494,475,475,470,492,537,646,727,807,831,847,793,754,806,836,784,844,948,980,960,"1,048","1,021",896,850,957,"1,242","1,331","1,418","1,559","1,499","1,352","1,353","1,431","1,462","1,589","1,601","1,800","1,855","1,828","1,824","1,929","2,109","2,249","2,590","2,837","2,825","2,776","2,744","2,799","2,748","3,020","3,202","3,560","6,192","5,068","5,942","6,217","6,778","7,235","7,552","7,951","8,108","8,379","8,687","9,025","9,298","9,558","9,986","10,621","11,213","11,291","12,088","12,539","13,892","15,260","17,595","19,546","26,821",
"PublicTransfers,  Health, Outflows","2,219",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,60,119,224,388,609,872,"1,155","1,452","1,753","2,057","2,344","2,592","2,807","2,988","3,144","3,292","3,433","3,564","3,679","3,780","3,861","3,928","3,983","4,031","4,084","4,147","4,214","4,278","4,345","4,403","4,446","4,483","4,509","4,527","4,530","4,536","4,529","4,534","4,503","4,446","4,341","4,192","3,978","3,730","3,459","3,147","2,823","2,512","2,238","1,985","1,766","1,575","1,415","1,267","1,142","1,041",957,883,821,765,715,668,626,587,547,508,474,440,408,377,348,324,306,291,277,
"Public Transfers, Pensions",-85,10,22,37,50,67,85,103,125,144,172,198,231,265,315,356,380,409,408,-53,-395,-626,-878,"-1,134","-1,385","-1,628","-1,863","-2,075","-2,261","-2,417","-2,545","-2,645","-2,728","-2,799","-2,847","-2,892","-2,902","-2,926","-2,928","-2,935","-2,938","-2,959","-2,974","-2,984","-2,980","-2,962","-2,954","-2,914","-2,878","-2,849","-2,813","-2,758","-2,676","-2,585","-2,498","-2,369","-2,204","-1,987","-1,862","-1,749","-1,442",-866,-450,"2,967","4,429","5,224","8,529","9,128","8,947","8,989","8,946","8,671","9,146","9,072","9,310","8,989","9,312","9,472","9,236","9,421","9,588","9,360","9,450","9,925","9,762","9,427","10,034","10,226","10,828","10,857","10,778","9,695",
"Public Transfers, Pensions, Inflows","1,594",10,22,37,50,67,85,103,125,144,172,198,231,265,315,356,412,472,537,191,23,21,26,31,38,45,54,64,68,74,79,86,96,108,124,130,156,166,185,206,230,245,264,288,311,343,357,393,422,447,473,505,561,614,653,723,815,945,964,946,"1,088","1,477","1,663","4,831","6,049","6,622","9,726","10,151","9,824","9,742","9,592","9,223","9,625","9,489","9,672","9,305","9,587","9,710","9,442","9,598","9,742","9,496","9,572","10,033","9,860","9,514","10,109","10,291","10,888","10,918","10,841","9,762",
"Public Transfers, Pensions, Outflows","1,679",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,64,129,243,419,647,904,"1,165","1,423","1,674","1,917","2,140","2,329","2,491","2,623","2,731","2,824","2,907","2,971","3,021","3,058","3,091","3,112","3,141","3,168","3,204","3,238","3,272","3,291","3,305","3,311","3,306","3,300","3,296","3,286","3,263","3,237","3,199","3,151","3,092","3,019","2,931","2,826","2,695","2,531","2,343","2,113","1,864","1,620","1,398","1,196","1,024",877,753,646,553,479,417,362,316,276,238,206,178,153,136,121,109,98,87,75,65,59,61,64,67,
"Public Transfers, Other in-kind",1,"3,482","3,458","3,431","3,404","3,373","3,341","3,306","3,270","3,232","3,190","3,144","3,097","3,043","2,989","2,938","2,783","2,730","2,675","2,599","2,483","2,314","2,096","1,823","1,516","1,187",850,525,265,48,-130,-294,-480,-683,-903,"-1,091","-1,251","-1,343","-1,421","-1,458","-1,505","-1,562","-1,666","-1,779","-1,921","-2,085","-2,253","-2,390","-2,519","-2,621","-2,720","-2,813","-2,938","-3,064","-3,232","-3,336","-3,397","-3,359","-3,245","-3,017","-2,773","-2,513","-2,251","-2,004","-1,802","-1,654","-1,521","-1,393","-1,280","-1,174","-1,063",-951,-872,-793,-719,-644,-587,-531,-475,-425,-379,-378,-326,-284,-154,-78,108,307,585,890,"1,219","1,506",
"Public Transfers, Other in-kind, Inflows","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910","3,910",
"Public Transfers, Other in-kind, Outflows","3,909",428,453,479,507,537,570,605,640,679,720,766,813,868,921,972,"1,128","1,181","1,235","1,311","1,427","1,596","1,815","2,088","2,395","2,723","3,060","3,385","3,645","3,862","4,041","4,204","4,391","4,594","4,813","5,001","5,161","5,253","5,331","5,369","5,415","5,472","5,576","5,689","5,831","5,995","6,163","6,300","6,429","6,532","6,630","6,723","6,848","6,974","7,143","7,246","7,308","7,270","7,156","6,927","6,684","6,423","6,162","5,915","5,712","5,564","5,431","5,303","5,191","5,084","4,973","4,861","4,782","4,704","4,630","4,555","4,497","4,442","4,386","4,335","4,289","4,289","4,237","4,194","4,064","3,988","3,802","3,604","3,325","3,020","2,691","2,405",
