Version 1.0,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,
"Public Transfers, Education, Outflows",934,101,98,100,95,93,101,110,117,123,130,138,143,148,159,169,181,188,199,230,309,383,478,576,677,772,857,924,974,"1,005","1,030","1,045","1,056","1,080","1,107","1,130","1,179","1,216","1,243","1,276","1,326","1,352","1,371","1,394","1,441","1,470","1,511","1,564","1,621","1,629","1,627","1,631","1,636","1,621","1,649","1,671","1,656","1,651","1,652","1,530","1,424","1,332","1,172","1,038",966,906,886,863,828,805,782,768,752,751,760,773,770,791,782,736,709,634,569,511,480,425,429,403,404,367,338,309,
"Public Transfers, Health",0,"1,633",702,715,562,560,548,439,335,293,250,204,163,122,94,67,36,14,-14,-56,-187,-308,-468,-633,-797,-948,"-1,080","-1,182","-1,250","-1,295","-1,330","-1,347","-1,355","-1,389","-1,424","-1,451","-1,525","-1,577","-1,613","-1,660","-1,737","-1,744","-1,765","-1,794","-1,842","-1,860","-1,899","-1,960","-2,028","-1,985","-1,923","-1,872","-1,824","-1,736","-1,730","-1,712","-1,625","-1,550","-1,502","-1,173",-890,-637,-252,101,381,648,836,"1,031","1,297","1,583","1,854","2,105","2,360","2,670","2,886","3,060","3,259","3,416","3,809","4,275","4,638","5,094","5,521","6,236","6,978","7,610","8,139","8,717","9,957","10,782","11,594","12,405",
"Public Transfers, Health, Inflows","1,711","1,817",882,898,736,730,733,641,550,518,487,456,425,394,385,377,368,359,350,365,379,393,407,421,444,466,488,510,533,544,555,566,577,588,603,618,633,648,663,677,691,730,744,759,795,831,867,903,939,997,"1,055","1,113","1,171","1,231","1,290","1,348","1,408","1,472","1,522","1,628","1,717","1,801","1,894","2,001","2,149","2,307","2,458","2,611","2,812","3,057","3,286","3,511","3,736","4,045","4,278","4,474","4,669","4,865","5,240","5,623","5,937","6,254","6,563","7,172","7,856","8,388","8,924","9,454","10,696","11,454","12,213","12,971",
"PublicTransfers,  Health, Outflows","1,711",184,180,183,174,171,185,202,214,225,238,252,262,272,291,309,332,345,364,420,566,701,875,"1,054","1,240","1,414","1,568","1,692","1,782","1,839","1,885","1,913","1,933","1,977","2,027","2,069","2,158","2,225","2,276","2,337","2,428","2,475","2,510","2,552","2,637","2,691","2,766","2,863","2,967","2,982","2,978","2,985","2,995","2,967","3,020","3,060","3,032","3,022","3,024","2,801","2,607","2,438","2,146","1,900","1,768","1,659","1,622","1,580","1,515","1,474","1,431","1,405","1,376","1,375","1,392","1,414","1,411","1,449","1,431","1,348","1,298","1,161","1,042",936,878,778,785,738,739,672,619,566,
"Public Transfers, Pensions",0,-233,-228,-232,-221,-216,-234,-256,-272,-285,-301,-319,-333,-344,-369,-392,-420,-437,-462,-533,-718,-888,"-1,109","-1,336","-1,568","-1,788","-1,982","-2,140","-2,253","-2,325","-2,381","-2,417","-2,441","-2,493","-2,553","-2,606","-2,713","-2,786","-2,847","-2,922","-3,035","-3,087","-3,136","-3,189","-3,293","-3,355","-3,452","-3,570","-3,693","-3,697","-3,679","-3,667","-3,666","-3,613","-3,655","-3,680","-3,617","-3,541","-3,509","-2,798","-1,712",-420,"1,147","2,745","4,095","5,213","5,950","6,636","7,381","7,741","7,907","8,035","8,218","8,393","8,635","8,750","8,790","8,832","8,453","8,116","7,733","7,254","6,788","6,616","6,333","5,958","5,858","5,490","5,107","4,783","4,537","4,292",
"Public Transfers, Pensions, Inflows","2,168",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,5,5,6,8,8,8,12,15,16,21,34,37,39,42,50,44,46,49,56,53,58,68,83,96,116,130,147,172,198,226,289,324,753,"1,591","2,669","3,866","5,153","6,336","7,316","8,006","8,639","9,302","9,609","9,721","9,816","9,962","10,136","10,399","10,542","10,577","10,668","10,267","9,824","9,378","8,725","8,109","7,803","7,445","6,944","6,853","6,425","6,044","5,635","5,322","5,009",
"Public Transfers, Pensions, Outflows","2,168",233,228,232,221,216,234,256,272,285,301,319,333,344,369,392,420,437,462,533,718,888,"1,109","1,336","1,572","1,792","1,987","2,145","2,259","2,331","2,389","2,425","2,449","2,505","2,568","2,622","2,734","2,820","2,884","2,962","3,077","3,136","3,180","3,235","3,342","3,411","3,505","3,628","3,760","3,780","3,775","3,783","3,796","3,760","3,827","3,878","3,843","3,830","3,832","3,550","3,303","3,089","2,720","2,408","2,241","2,103","2,056","2,002","1,920","1,868","1,814","1,781","1,744","1,743","1,764","1,792","1,788","1,836","1,814","1,708","1,645","1,471","1,321","1,187","1,113",986,995,935,936,852,785,717,
"Public Transfers, Other in-kind",0,"1,865","1,871","1,866","1,878","1,882","1,864","1,843","1,828","1,815","1,800","1,782","1,770","1,758","1,735","1,713","1,685","1,669","1,645","1,577","1,398","1,234","1,021",802,575,363,174,22,-87,-157,-213,-247,-271,-325,-386,-438,-546,-629,-690,-765,-876,-933,-976,"-1,028","-1,132","-1,198","-1,289","-1,408","-1,535","-1,554","-1,549","-1,557","-1,569","-1,535","-1,599","-1,648","-1,615","-1,602","-1,604","-1,333","-1,095",-888,-532,-231,-70,63,108,160,239,289,341,373,409,410,389,362,367,320,342,443,504,672,817,946,"1,018","1,140","1,131","1,189","1,187","1,269","1,334","1,399",
"Public Transfers, Other in-kind, Inflows","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090","2,090",
"Public Transfers, Other in-kind, Outflows","2,090",225,220,224,213,208,226,247,262,275,290,308,321,332,355,378,405,421,445,513,692,856,"1,069","1,288","1,515","1,728","1,916","2,068","2,178","2,247","2,303","2,338","2,361","2,415","2,476","2,528","2,636","2,719","2,781","2,855","2,967","3,024","3,066","3,119","3,222","3,288","3,380","3,498","3,625","3,644","3,639","3,647","3,660","3,625","3,689","3,739","3,705","3,692","3,695","3,423","3,185","2,978","2,622","2,321","2,160","2,027","1,982","1,930","1,852","1,801","1,749","1,717","1,681","1,680","1,701","1,728","1,723","1,770","1,749","1,647","1,586","1,418","1,273","1,144","1,073",950,959,902,903,821,756,691,
