Version 1.0,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,
"Public Transfers, Education, Outflows",853,62,60,59,63,63,65,68,71,75,81,85,89,93,98,103,110,119,134,163,207,280,351,432,520,604,687,770,847,921,989,"1,049","1,103","1,150","1,192","1,234","1,276","1,311","1,341","1,372","1,398","1,415","1,438","1,462","1,490","1,514","1,538","1,548","1,546","1,545","1,543","1,536","1,531","1,521","1,504","1,472","1,430","1,364","1,295","1,208","1,115","1,020",922,830,755,691,645,617,600,591,584,579,575,572,569,567,565,563,561,560,558,558,559,560,563,565,562,535,511,490,481,472,
"Public Transfers, Health",5,"2,134","1,249","1,140",807,782,762,747,744,840,692,685,776,634,733,758,804,812,802,809,546,329,55,-257,-534,-694,-898,"-1,192","-1,390","-1,591","-1,858","-2,004","-2,140","-2,285","-2,262","-2,358","-2,376","-2,424","-2,327","-2,523","-2,531","-2,575","-2,577","-2,611","-2,599","-2,544","-2,561","-2,295","-2,259","-1,948","-1,904","-2,021","-1,841","-1,851","-1,741","-1,446",-818,-730,-369,138,463,744,969,"1,325","1,386","1,596","1,903","1,992","2,098","2,142","2,208","2,335","2,463","2,395","2,727","2,953","3,238","3,373","3,847","4,133","4,439","4,812","5,179","5,549","6,117","6,654","7,917","9,125","10,662","12,345","13,433","15,091",
"Public Transfers, Health, Inflows","2,686","2,328","1,436","1,326","1,005",981,966,961,968,"1,076",947,952,"1,056",927,"1,041","1,083","1,149","1,184","1,224","1,321","1,198","1,209","1,159","1,101","1,099","1,204","1,262","1,227","1,272","1,303","1,251","1,292","1,325","1,328","1,485","1,518","1,632","1,696","1,887","1,788","1,861","1,871","1,943","1,982","2,083","2,214","2,273","2,570","2,599","2,905","2,944","2,806","2,968","2,928","2,986","3,178","3,675","3,557","3,699","3,934","3,968","3,949","3,867","3,931","3,759","3,768","3,930","3,931","3,985","3,997","4,044","4,155","4,271","4,192","4,515","4,733","5,013","5,143","5,609","5,893","6,193","6,564","6,934","7,309","7,885","8,431","9,684","10,807","12,267","13,885","14,943","16,573",
"PublicTransfers,  Health, Outflows","2,681",194,188,186,198,200,205,214,224,237,256,268,280,294,309,324,345,372,423,512,652,879,"1,104","1,358","1,633","1,898","2,160","2,419","2,661","2,894","3,108","3,296","3,465","3,613","3,747","3,876","4,009","4,120","4,214","4,311","4,392","4,445","4,520","4,593","4,682","4,758","4,834","4,866","4,858","4,853","4,847","4,827","4,809","4,779","4,727","4,624","4,493","4,287","4,068","3,796","3,504","3,205","2,897","2,607","2,374","2,172","2,028","1,939","1,887","1,856","1,836","1,821","1,808","1,797","1,788","1,781","1,774","1,770","1,762","1,760","1,755","1,753","1,755","1,761","1,768","1,777","1,767","1,681","1,605","1,540","1,510","1,482",
"Public Transfers, Pensions",6,-247,-239,-237,-249,-250,-256,-265,-277,-289,-311,-324,-337,-346,-361,-377,-390,-414,-475,-579,-751,"-1,039","-1,331","-1,657","-2,006","-2,345","-2,682","-3,004","-3,330","-3,642","-3,921","-4,157","-4,372","-4,545","-4,697","-4,831","-4,984","-5,119","-5,230","-5,325","-5,410","-5,443","-5,501","-5,538","-5,629","-5,695","-5,746","-5,724","-5,641","-5,579","-5,494","-5,428","-5,343","-5,252","-5,069","-4,843","-4,564","-4,186","-3,712","-3,036","-2,146",-710,"1,291","3,793","6,248","8,763","10,311","11,501","12,272","12,835","12,893","13,126","13,097","13,199","13,345","13,451","13,391","13,356","13,362","13,068","13,081","13,219","13,342","13,366","13,780","13,969","14,002","12,600","11,260","10,393","10,043","9,777",
"Public Transfers, Pensions, Inflows","3,418",0,0,0,3,4,5,7,8,12,14,17,19,27,32,36,49,60,63,72,79,80,74,72,73,71,67,75,58,42,35,38,38,53,72,103,118,124,133,162,180,214,252,308,329,360,406,469,542,599,676,716,778,830,947,"1,042","1,154","1,271","1,465","1,795","2,314","3,369","4,978","7,110","9,269","11,527","12,892","13,970","14,674","15,197","15,230","15,443","15,398","15,486","15,621","15,717","15,649","15,608","15,604","15,308","15,314","15,449","15,575","15,607","16,031","16,231","16,251","14,740","13,302","12,353","11,965","11,663",
"Public Transfers, Pensions, Outflows","3,412",247,239,237,252,254,260,272,285,301,325,341,357,374,393,413,439,474,538,652,830,"1,119","1,405","1,728","2,079","2,416","2,749","3,078","3,387","3,683","3,956","4,195","4,410","4,598","4,769","4,933","5,102","5,243","5,363","5,486","5,590","5,658","5,753","5,846","5,958","6,055","6,152","6,193","6,183","6,177","6,169","6,144","6,121","6,083","6,016","5,885","5,718","5,456","5,177","4,831","4,460","4,079","3,687","3,317","3,021","2,764","2,581","2,468","2,401","2,362","2,337","2,317","2,301","2,287","2,276","2,266","2,258","2,252","2,242","2,241","2,233","2,231","2,234","2,241","2,250","2,261","2,249","2,140","2,043","1,960","1,922","1,886",
"Public Transfers, Other in-kind",4,"2,073","2,079","2,080","2,070","2,069","2,065","2,057","2,049","2,038","2,022","2,012","2,002","1,991","1,978","1,965","1,948","1,925","1,883","1,809","1,692","1,503","1,317","1,105",876,655,437,222,20,-174,-352,-508,-649,-772,-883,-991,"-1,101","-1,194","-1,272","-1,353","-1,421","-1,465","-1,527","-1,588","-1,661","-1,725","-1,788","-1,814","-1,808","-1,804","-1,799","-1,783","-1,768","-1,742","-1,699","-1,614","-1,504","-1,333","-1,150",-924,-681,-432,-176,66,260,428,548,621,665,691,707,720,730,740,747,753,759,762,769,770,775,776,774,770,764,756,765,836,899,953,978,"1,002",
"Public Transfers, Other in-kind, Inflows","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235","2,235",
"Public Transfers, Other in-kind, Outflows","2,231",162,156,155,165,166,170,178,186,197,213,223,233,244,257,270,287,310,352,426,543,732,918,"1,130","1,359","1,580","1,798","2,013","2,215","2,409","2,587","2,743","2,884","3,007","3,118","3,226","3,336","3,429","3,507","3,588","3,656","3,700","3,762","3,823","3,896","3,960","4,023","4,049","4,043","4,039","4,034","4,018","4,003","3,977","3,934","3,849","3,739","3,568","3,385","3,159","2,916","2,668","2,411","2,169","1,975","1,807","1,688","1,614","1,570","1,544","1,528","1,515","1,505","1,495","1,488","1,482","1,477","1,473","1,466","1,465","1,460","1,459","1,461","1,465","1,472","1,479","1,471","1,399","1,336","1,282","1,257","1,233",
"Public Transfers, Other cash",65,286,201,192,164,172,175,174,182,195,175,173,187,175,201,212,226,231,248,255,225,196,212,261,309,347,291,171,132,106,102,113,120,183,338,412,470,484,529,457,388,354,305,236,140,11,-84,-137,-239,-259,-328,-367,-363,-454,-402,-329,-213,-54,150,400,482,213,82,-314,-507,-628,-668,-793,-788,-797,-799,-779,-746,-729,-645,-551,-429,-333,-191,-77,70,246,418,629,906,"1,195","1,580","1,733","2,158","2,319","2,584","2,966",
