Version 1.0,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,
"Public Transfers, Education, Outflows","1,459",284,290,295,302,313,327,344,361,379,397,419,442,471,507,553,605,673,754,850,963,"1,081","1,196","1,302","1,388","1,443","1,491","1,538","1,580","1,627","1,683","1,735","1,770","1,802","1,831","1,852","1,877","1,909","1,934","1,954","1,976","1,991","2,006","2,022","2,039","2,049","2,052","2,036","2,010","1,970","1,942","1,920","1,927","1,944","1,976","1,991","2,001","1,978","1,952","1,913","1,877","1,842","1,818","1,791","1,764","1,738","1,710","1,681","1,655","1,631","1,606","1,583","1,563","1,542","1,521","1,504","1,486","1,467","1,446","1,425","1,402","1,377","1,352","1,325","1,297","1,268","1,238","1,202","1,166","1,134","1,098","1,063",
"Public Transfers, Health",0,"1,686",572,388,347,357,318,281,265,261,252,253,209,191,143,95,63,21,-48,-148,-277,-425,-573,-702,-799,-860,-895,-920,-946,-982,"-1,030","-1,081","-1,117","-1,146","-1,170","-1,176","-1,184","-1,199","-1,206","-1,206","-1,219","-1,220","-1,217","-1,214","-1,197","-1,159","-1,103","-1,029",-928,-816,-709,-611,-514,-437,-367,-278,-168,-34,128,317,510,710,890,"1,058","1,201","1,327","1,425","1,533","1,640","1,746","1,854","1,973","2,081","2,184","2,301","2,417","2,538","2,672","2,806","2,904","2,971","3,001","3,005","2,998","3,049","3,145","3,271","3,381","3,454","3,448","3,390","3,332",
"Public Transfers, Health, Inflows","1,498","1,830",716,532,493,506,473,443,435,440,439,451,421,429,421,437,492,568,645,714,774,822,861,897,928,957,985,"1,009","1,026","1,041","1,052","1,058","1,062","1,069","1,071","1,074","1,079","1,088","1,097","1,113","1,134","1,159","1,189","1,222","1,258","1,300","1,343","1,388","1,441","1,496","1,554","1,617","1,683","1,745","1,806","1,863","1,916","1,971","2,034","2,095","2,155","2,216","2,271","2,316","2,365","2,429","2,501","2,588","2,692","2,804","2,912","3,020","3,122","3,220","3,322","3,428","3,541","3,663","3,787","3,880","3,932","3,949","3,939","3,915","3,947","4,025","4,131","4,222","4,274","4,247","4,167","4,087",
"PublicTransfers,  Health, Outflows","1,498",144,144,144,146,149,155,163,170,179,188,198,212,237,278,342,429,548,693,863,"1,051","1,247","1,434","1,599","1,728","1,817","1,880","1,929","1,971","2,023","2,082","2,139","2,179","2,215","2,241","2,250","2,264","2,287","2,303","2,319","2,353","2,379","2,406","2,436","2,456","2,459","2,446","2,418","2,369","2,313","2,263","2,228","2,197","2,182","2,173","2,141","2,084","2,005","1,906","1,778","1,645","1,506","1,381","1,258","1,164","1,102","1,075","1,055","1,052","1,058","1,058","1,047","1,042","1,036","1,021","1,011","1,002",991,981,976,962,949,934,918,898,880,860,840,820,798,777,755,
"Public Transfers, Pensions",0,-425,-359,-361,-393,-351,-446,-453,-440,-496,-479,-566,-559,-600,-611,-773,-880,"-1,321","-1,762","-2,230","-2,742","-3,274","-3,781","-4,235","-4,589","-4,822","-5,003","-5,162","-5,347","-5,570","-5,844","-6,084","-6,264","-6,368","-6,445","-6,444","-6,460","-6,513","-6,597","-6,678","-6,836","-6,971","-7,099","-7,202","-7,225","-7,170","-7,056","-6,870","-6,540","-6,202","-5,807","-5,384","-4,783","-4,140","-3,244","-2,149",-735,845,"2,712","4,659","6,732","8,739","10,446","11,768","12,666","13,161","13,321","13,400","13,474","13,680","14,040","14,373","14,744","15,009","15,137","15,127","15,185","15,289","15,560","16,021","16,498","17,057","17,560","17,913","18,131","18,377","18,576","18,812","19,143","19,536","19,944","20,353",
"Public Transfers, Pensions, Inflows","4,256",50,52,53,54,56,57,59,60,62,63,64,66,68,69,70,72,73,75,77,79,80,84,89,94,102,109,113,119,125,133,143,159,175,186,198,211,223,237,270,298,328,353,372,401,442,490,561,697,822,"1,025","1,312","1,782","2,380","3,271","4,273","5,489","6,801","8,283","9,746","11,299","12,778","14,004","14,887","15,438","15,707","15,763","15,765","15,813","16,022","16,374","16,667","17,015","17,261","17,347","17,310","17,348","17,420","17,662","18,105","18,542","19,057","19,520","19,828","19,996","20,196","20,347","20,533","20,813","21,152","21,507","21,861",
"Public Transfers, Pensions, Outflows","4,256",476,411,414,447,407,504,512,499,557,542,630,624,668,680,843,952,"1,395","1,838","2,308","2,821","3,354","3,865","4,324","4,683","4,923","5,112","5,275","5,465","5,695","5,978","6,227","6,423","6,543","6,631","6,642","6,671","6,736","6,835","6,948","7,134","7,299","7,452","7,574","7,627","7,612","7,546","7,430","7,237","7,024","6,831","6,696","6,565","6,521","6,515","6,422","6,224","5,956","5,571","5,087","4,567","4,040","3,558","3,120","2,773","2,547","2,442","2,365","2,339","2,342","2,334","2,294","2,272","2,252","2,210","2,184","2,163","2,131","2,102","2,084","2,043","2,000","1,960","1,916","1,865","1,819","1,771","1,721","1,670","1,617","1,563","1,509",
"Public Transfers, Other in-kind",0,"1,809","1,801","1,793","1,782","1,765","1,743","1,717","1,692","1,664","1,636","1,601","1,566","1,522","1,467","1,395","1,315","1,211","1,085",937,764,582,405,240,108,24,-50,-122,-187,-259,-346,-426,-479,-529,-574,-607,-644,-694,-733,-763,-797,-820,-843,-868,-895,-910,-915,-890,-850,-789,-744,-711,-721,-748,-797,-821,-836,-800,-760,-701,-646,-591,-554,-512,-471,-431,-387,-343,-302,-265,-227,-192,-161,-129,-97,-71,-43,-13,20,52,88,125,165,206,248,294,340,395,450,501,555,609,
"Public Transfers, Other in-kind, Inflows","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247","2,247",
"Public Transfers, Other in-kind, Outflows","2,247",438,446,454,466,482,504,530,556,583,612,646,681,726,781,852,932,"1,036","1,162","1,310","1,483","1,665","1,843","2,007","2,139","2,224","2,298","2,369","2,434","2,506","2,594","2,673","2,727","2,776","2,821","2,854","2,891","2,941","2,981","3,010","3,044","3,067","3,090","3,115","3,142","3,158","3,162","3,138","3,097","3,036","2,992","2,959","2,969","2,995","3,044","3,069","3,083","3,047","3,007","2,948","2,893","2,838","2,801","2,759","2,718","2,678","2,634","2,590","2,550","2,512","2,474","2,439","2,409","2,376","2,344","2,318","2,290","2,260","2,228","2,195","2,159","2,122","2,082","2,041","1,999","1,954","1,908","1,852","1,797","1,747","1,693","1,638",
