Version 1.0,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,
"Public Transfers, Education, Outflows",896,186,193,201,204,206,214,219,228,236,249,260,275,289,309,321,337,389,405,417,470,493,518,550,579,609,641,691,723,788,826,873,925,964,967,"1,020","1,040","1,032","1,074","1,093","1,103","1,134","1,215","1,266","1,284","1,340","1,400","1,430","1,392","1,476","1,439","1,433","1,393","1,448","1,420","1,429","1,381","1,341","1,263","1,257","1,218","1,219","1,254","1,346","1,278","1,262","1,231","1,179","1,049","1,051","1,112","1,073","1,078","1,090","1,077","1,051","1,064","1,103","1,044","1,016",934,905,825,894,899,930,922,879,783,789,752,715,
"Public Transfers, Health",0,"2,374",411,401,397,394,384,162,150,140,124,109,75,57,32,16,-4,14,-6,-21,-88,-116,-111,-151,-188,-226,-267,-214,-254,-336,-384,-443,-498,-548,-551,-618,-643,-601,-654,-678,-690,-729,-801,-866,-889,-960,"-1,036",-950,-901,"-1,008",-960,-952,-644,-715,-679,-690,-630,-332,-233,-226,-178,-180,83,-36,50,69,259,726,891,887,808,949,"1,303","1,285","1,298","1,328","1,426","1,908","1,978","2,009","2,108","2,465","2,554","2,462","2,454","2,412","2,937","3,493","3,616","3,608","3,656","3,764",
"Public Transfers, Health, Inflows","1,136","2,610",656,656,656,656,656,439,439,439,439,439,423,423,423,423,423,508,508,508,508,508,546,546,546,546,546,663,663,663,663,663,674,674,675,675,675,708,708,708,708,708,739,739,739,739,739,864,864,864,864,864,"1,121","1,121","1,121","1,121","1,121","1,368","1,367","1,367","1,367","1,366","1,672","1,671","1,670","1,670","1,820","2,222","2,221","2,219","2,218","2,310","2,670","2,667","2,664","2,660","2,776","3,306","3,302","3,298","3,292","3,612","3,599","3,596","3,594","3,592","4,106","4,607","4,608","4,609","4,610","4,671",
"PublicTransfers,  Health, Outflows","1,136",236,245,255,259,262,272,278,289,299,315,330,348,366,391,408,427,494,514,529,596,625,657,697,734,772,813,876,917,999,"1,047","1,107","1,172","1,223","1,226","1,293","1,318","1,308","1,362","1,386","1,398","1,438","1,540","1,605","1,629","1,699","1,775","1,814","1,765","1,872","1,824","1,817","1,766","1,836","1,801","1,812","1,752","1,700","1,601","1,594","1,545","1,546","1,590","1,707","1,620","1,601","1,561","1,496","1,330","1,332","1,410","1,361","1,367","1,382","1,366","1,332","1,350","1,399","1,324","1,289","1,184","1,147","1,046","1,134","1,139","1,180","1,169","1,114",993,"1,001",954,907,
"Public Transfers, Pensions",0,7,7,7,11,14,18,22,26,33,40,46,53,60,69,75,76,144,129,82,-98,-312,-579,-850,"-1,162","-1,468","-1,735","-2,060","-2,364","-2,544","-2,724","-2,940","-3,140","-3,253","-3,406","-3,482","-3,467","-3,454","-3,583","-3,772","-3,891","-3,951","-4,038","-4,089","-4,077","-3,948","-3,890","-3,924","-3,865","-3,632","-3,443","-3,286","-2,907","-2,664","-2,310","-2,081","-1,681","-1,425",-869,-263,521,"1,178","2,004","2,553","3,676","4,619","5,838","6,957","8,107","8,426","8,711","8,765","8,814","8,844","8,829","8,798","8,767","8,724","8,684","8,659","8,632","8,600","8,582","8,558","8,415","8,277","8,148","8,021","7,903","7,862","7,822","7,782",
"Public Transfers, Pensions, Inflows","2,304",7,7,7,11,14,18,22,26,33,40,46,53,60,69,78,99,268,377,474,543,619,631,643,680,717,755,792,830,848,867,885,904,922,912,901,891,880,870,874,878,883,887,892,927,962,998,"1,033","1,069","1,156","1,243","1,364","1,451","1,538","1,701","1,866","2,032","2,197","2,360","2,773","3,185","3,583","3,986","4,398","5,268","6,128","7,004","7,869","8,711","8,750","8,786","8,818","8,847","8,874","8,842","8,810","8,775","8,739","8,697","8,674","8,648","8,620","8,592","8,568","8,423","8,284","8,152","8,024","7,906","7,863","7,822","7,782",
"Public Transfers, Pensions, Outflows","2,304",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,124,248,392,642,931,"1,209","1,493","1,842","2,185","2,490","2,853","3,194","3,392","3,590","3,825","4,044","4,175","4,317","4,383","4,358","4,334","4,452","4,646","4,769","4,834","4,925","4,981","5,004","4,910","4,888","4,957","4,934","4,788","4,686","4,650","4,358","4,202","4,011","3,948","3,713","3,622","3,230","3,035","2,664","2,405","1,982","1,846","1,592","1,509","1,166",913,604,324,75,52,33,29,13,12,9,14,14,16,17,20,10,10,8,8,3,3,3,1,0,0,
"Public Transfers, Other in-kind","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510",
"Public Transfers, Other in-kind, Inflows",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
"Public Transfers, Other in-kind, Outflows",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
