Version 1.0,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,
"Public Transfers, Education, Outflows","2,345",272,288,311,331,340,346,354,363,375,385,396,407,423,442,468,501,557,693,904,"1,149","1,404","1,651","1,868","2,050","2,225","2,407","2,591","2,766","2,923","3,053","3,151","3,221","3,279","3,326","3,371","3,417","3,460","3,496","3,530","3,564","3,596","3,633","3,675","3,710","3,738","3,768","3,790","3,804","3,826","3,850","3,865","3,877","3,885","3,890","3,890","3,882","3,868","3,846","3,804","3,724","3,599","3,415","3,177","2,906","2,626","2,366","2,153","1,981","1,847","1,747","1,665","1,599","1,552","1,516","1,484","1,454","1,424","1,394","1,370","1,350","1,337","1,326","1,325","1,326","1,326","1,322","1,305","1,278","1,250","1,217","1,122",
"Public Transfers, Health",-79,535,514,482,455,443,434,424,412,397,387,380,374,363,348,325,292,228,55,-216,-529,-853,"-1,162","-1,429","-1,649","-1,857","-2,075","-2,297","-2,506","-2,694","-2,848","-2,964","-3,050","-3,124","-3,188","-3,249","-3,311","-3,370","-3,417","-3,458","-3,489","-3,507","-3,525","-3,544","-3,549","-3,546","-3,543","-3,531","-3,507","-3,499","-3,499","-3,494","-3,496","-3,501","-3,507","-3,507","-3,496","-3,477","-3,440","-3,341","-3,136","-2,810","-2,350","-1,781","-1,146",-490,139,703,"1,217","1,726","2,261","2,837","3,435","4,036","4,685","5,426","6,263","7,186","8,179","9,285","10,534","11,903","13,344","14,824","16,427","18,227","20,220","22,357","24,549","26,703","28,744","35,244",
"Public Transfers, Health, Inflows","3,109",905,905,905,905,905,905,905,905,907,911,918,927,938,949,961,973,985,998,"1,013","1,032","1,056","1,082","1,110","1,139","1,168","1,197","1,226","1,254","1,280","1,302","1,319","1,329","1,333","1,334","1,334","1,334","1,334","1,335","1,342","1,357","1,381","1,414","1,452","1,494","1,537","1,580","1,622","1,664","1,702","1,735","1,760","1,775","1,781","1,782","1,782","1,782","1,782","1,789","1,830","1,926","2,083","2,292","2,538","2,805","3,080","3,355","3,630","3,911","4,237","4,636","5,101","5,609","6,147","6,746","7,443","8,240","9,121","10,074","11,147","12,369","13,720","15,148","16,626","18,230","20,031","22,017","24,131","26,287","28,401","30,398","36,769",
"PublicTransfers,  Health, Outflows","3,188",370,391,423,450,462,471,481,493,510,524,538,553,575,601,637,682,758,943,"1,229","1,562","1,909","2,244","2,539","2,788","3,025","3,272","3,523","3,760","3,974","4,151","4,283","4,380","4,457","4,522","4,583","4,646","4,704","4,752","4,800","4,846","4,888","4,939","4,997","5,043","5,082","5,123","5,153","5,171","5,201","5,234","5,254","5,270","5,282","5,289","5,289","5,278","5,259","5,229","5,171","5,062","4,893","4,642","4,319","3,951","3,569","3,217","2,927","2,694","2,511","2,375","2,264","2,174","2,110","2,061","2,017","1,977","1,935","1,895","1,862","1,835","1,817","1,803","1,802","1,802","1,803","1,798","1,774","1,738","1,699","1,654","1,525",
"Public Transfers, Pensions",-145,-539,-570,-616,-656,-673,-686,-701,-719,-743,-763,-785,-806,-838,-876,-928,-993,"-1,099","-1,364","-1,773","-2,243","-2,727","-3,193","-3,596","-3,931","-4,254","-4,593","-4,936","-5,267","-5,567","-5,804","-5,976","-6,095","-6,182","-6,254","-6,323","-6,390","-6,445","-6,484","-6,522","-6,560","-6,593","-6,637","-6,695","-6,734","-6,764","-6,799","-6,817","-6,813","-6,819","-6,817","-6,792","-6,751","-6,679","-6,562","-6,369","-6,063","-5,636","-5,068","-4,289","-3,216","-1,839",-174,"1,948","4,889","8,433","12,000","15,247","17,702","18,892","19,152","19,091","18,909","18,779","18,722","18,664","18,604","18,585","18,537","18,496","18,491","18,442","18,389","18,458","18,563","18,597","18,548","18,366","18,027","17,568","17,038","14,008",
"Public Transfers, Pensions, Inflows","4,501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,17,33,55,78,104,132,154,176,198,213,225,245,267,288,314,337,356,380,410,442,472,502,531,560,587,616,642,667,693,723,761,810,865,930,"1,018","1,145","1,338","1,629","2,027","2,552","3,246","4,161","5,291","6,591","8,242","10,646","13,635","16,688","19,512","21,628","22,552","22,613","22,390","22,078","21,855","21,725","21,603","21,485","21,406","21,298","21,209","21,165","21,091","21,017","21,084","21,190","21,225","21,168","20,952","20,559","20,044","19,448","16,231",
"Public Transfers, Pensions, Outflows","4,646",539,570,616,656,673,686,701,719,743,763,785,806,838,876,928,993,"1,104","1,374","1,791","2,276","2,781","3,271","3,700","4,062","4,408","4,769","5,134","5,480","5,791","6,049","6,242","6,382","6,496","6,590","6,678","6,770","6,855","6,926","6,995","7,062","7,124","7,197","7,282","7,350","7,407","7,466","7,509","7,536","7,580","7,627","7,656","7,680","7,697","7,707","7,707","7,691","7,663","7,621","7,536","7,377","7,130","6,765","6,294","5,757","5,202","4,688","4,265","3,926","3,660","3,461","3,300","3,169","3,075","3,003","2,939","2,881","2,820","2,761","2,714","2,674","2,648","2,628","2,625","2,627","2,628","2,620","2,586","2,533","2,476","2,411","2,223",
"Public Transfers, Other in-kind",-74,"2,180","2,163","2,137","2,116","2,106","2,099","2,091","2,081","2,068","2,057","2,045","2,033","2,016","1,995","1,966","1,930","1,870","1,722","1,493","1,227",949,681,445,246,56,-142,-342,-532,-703,-844,-950,"-1,027","-1,089","-1,141","-1,190","-1,240","-1,286","-1,325","-1,363","-1,400","-1,434","-1,474","-1,521","-1,558","-1,589","-1,622","-1,646","-1,660","-1,684","-1,710","-1,726","-1,739","-1,749","-1,754","-1,754","-1,745","-1,730","-1,707","-1,660","-1,573","-1,438","-1,237",-979,-684,-379,-97,135,321,467,576,665,736,788,827,863,895,928,960,986,"1,008","1,022","1,033","1,035","1,034","1,033","1,038","1,056","1,086","1,117","1,153","1,256",
"Public Transfers, Other in-kind, Inflows","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476","2,476",
"Public Transfers, Other in-kind, Outflows","2,550",296,313,338,360,369,377,385,394,408,419,431,442,460,481,509,545,606,754,983,"1,249","1,526","1,795","2,031","2,229","2,419","2,617","2,818","3,007","3,178","3,320","3,426","3,503","3,565","3,617","3,665","3,715","3,762","3,801","3,839","3,875","3,909","3,950","3,996","4,033","4,065","4,097","4,121","4,136","4,160","4,186","4,202","4,215","4,224","4,230","4,230","4,221","4,206","4,182","4,136","4,049","3,913","3,713","3,454","3,160","2,855","2,573","2,341","2,154","2,009","1,899","1,811","1,739","1,688","1,648","1,613","1,581","1,548","1,515","1,489","1,468","1,453","1,442","1,441","1,441","1,442","1,438","1,419","1,390","1,359","1,323","1,220",
"Public Transfers, Other cash",-113,-459,-486,-525,-559,-573,-585,-597,-612,-633,-650,-668,-687,-714,-746,-790,-846,-912,"-1,068","-1,220","-1,233","-1,086",-797,-392,18,323,532,674,784,926,"1,126","1,361","1,613","1,837","1,986","2,048","2,043","1,984","1,873","1,706","1,501","1,268","1,017",764,532,306,79,-137,-318,-474,-610,-710,-770,-807,-827,-835,-816,-744,-626,-437,-104,330,823,"1,271","1,383","1,024",378,-403,"-1,123","-1,547","-1,692","-1,739","-1,773","-1,807","-1,826","-1,816","-1,784","-1,738","-1,683","-1,625","-1,558","-1,497","-1,434","-1,379","-1,309","-1,222","-1,106",-939,-750,-565,-356,695,
"Public Transfers, Other cash, Inflows","3,845",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,102,306,705,"1,284","1,989","2,759","3,478","4,078","4,594","5,047","5,452","5,859","6,279","6,678","7,050","7,370","7,600","7,737","7,809","7,823","7,772","7,664","7,516","7,335","7,147","6,967","6,792","6,615","6,439","6,260","6,102","5,982","5,886","5,812","5,773","5,750","5,738","5,730","5,736","5,783","5,865","5,982","6,180","6,404","6,586","6,632","6,287","5,455","4,371","3,231","2,221","1,570","1,256","1,072",926,813,732,688,670,665,669,687,720,759,805,857,929,"1,017","1,126","1,263","1,407","1,544","1,697","2,588",
"Public Transfers, Other cash, Outflows","3,958",459,486,525,559,573,585,597,612,633,650,668,687,714,746,790,846,941,"1,170","1,525","1,938","2,369","2,786","3,152","3,460","3,755","4,062","4,373","4,668","4,933","5,152","5,317","5,436","5,533","5,614","5,689","5,767","5,839","5,899","5,958","6,015","6,068","6,131","6,203","6,260","6,309","6,359","6,397","6,419","6,456","6,497","6,522","6,542","6,557","6,565","6,565","6,552","6,528","6,491","6,419","6,284","6,074","5,763","5,362","4,904","4,431","3,993","3,633","3,344","3,118","2,948","2,811","2,699","2,620","2,558","2,504","2,454","2,403","2,352","2,312","2,278","2,256","2,239","2,236","2,237","2,239","2,231","2,203","2,157","2,109","2,053","1,893",
Private Transfers,242,"5,934","6,277","6,784","7,214","7,399","7,539","7,696","7,886","8,155","8,377","8,609","8,845","9,189","9,600","10,143","10,803","11,351","11,270","10,369","8,626","6,557","5,144","4,394","3,859","3,358","2,942","2,509","1,957","1,402",793,176,-704,"-1,493","-2,198","-3,033","-3,815","-4,407","-5,044","-5,732","-6,127","-6,203","-6,406","-6,479","-6,820","-6,434","-6,091","-5,946","-5,566","-5,209","-4,906","-4,596","-4,168","-3,696","-3,436","-3,008","-2,675","-2,358","-2,269","-2,230","-2,259","-2,288","-2,424","-2,431","-2,479","-2,462","-2,522","-2,568","-2,584","-2,551","-2,465","-2,435","-2,381","-2,332","-2,272","-2,317","-2,332","-2,378","-2,402","-2,443","-2,465","-2,444","-2,393","-2,409","-2,414","-2,403","-2,380","-2,396","-2,372","-2,346","-2,330","-2,302",
"Private Transfers, Inflows","4,851","5,934","6,277","6,784","7,214","7,399","7,539","7,696","7,886","8,155","8,377","8,609","8,845","9,189","9,600","10,143","10,803","11,443","11,469","10,678","9,047","7,221","6,046","5,532","5,066","4,768","4,611","4,588","4,583","4,586","4,594","4,638","4,699","4,696","4,685","4,699","4,674","4,676","4,616","4,554","4,483","4,334","4,267","4,153","4,129","4,085","4,014","4,018","3,911","3,848","3,770","3,672","3,591","3,442","3,406","3,320","3,308","3,170","3,041","2,917","2,797","2,702","2,531","2,408","2,334","2,295","2,242","2,270","2,310","2,245","2,277","2,265","2,300","2,234","2,227","2,258","2,263","2,301","2,262","2,235","2,219","2,071","1,931","1,834","1,766","1,708","1,508","1,377","1,236","1,233","1,008",500,
"Private Transfers, Outflows","4,609",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,199,309,422,664,902,"1,138","1,207","1,410","1,669","2,080","2,626","3,184","3,801","4,462","5,403","6,188","6,883","7,732","8,489","9,084","9,660","10,285","10,610","10,537","10,673","10,632","10,949","10,519","10,106","9,964","9,477","9,057","8,676","8,268","7,758","7,138","6,842","6,328","5,983","5,528","5,309","5,147","5,056","4,990","4,956","4,839","4,813","4,757","4,765","4,838","4,894","4,796","4,742","4,700","4,680","4,566","4,499","4,575","4,595","4,679","4,664","4,678","4,684","4,515","4,324","4,243","4,180","4,112","3,889","3,773","3,608","3,578","3,338","2,802",
Interhousehold Transfers,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,895,"1,342","1,790","2,237","2,685","3,132","3,132","3,138","3,130","3,087","3,015","2,935","2,855","2,777","2,700","2,627","2,566","2,518","2,466","2,395","2,298","2,182","2,059","1,935","1,812","1,697","1,599","1,516","1,400","1,217",960,654,329,0,-325,-631,-888,"-1,073","-1,202","-1,312","-1,447","-1,607","-1,778","-1,951","-2,122","-2,282","-2,417","-2,509","-2,546","-2,542","-2,522","-2,498","-2,473","-2,447","-2,422","-2,398","-2,378","-2,365","-2,358","-2,357","-2,357","-2,357","-2,357","-2,357","-2,357","-2,358","-2,358","-2,358","-2,358","-2,358","-2,358","-2,358","-2,358","-2,358",
"Interhousehold Transfers, Inflows","1,582",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,"1,067","1,600","2,133","2,666","3,200","3,733","3,733","3,737","3,731","3,700","3,648","3,590","3,532","3,476","3,420","3,367","3,323","3,289","3,255","3,213","3,155","3,086","3,013","2,939","2,866","2,797","2,739","2,692","2,635","2,551","2,436","2,298","2,152","2,004","1,857","1,720","1,604","1,518","1,447","1,371","1,270","1,151","1,024",896,768,649,549,479,442,427,415,401,386,371,356,342,330,320,307,288,260,228,193,159,124,92,65,46,37,35,35,35,35,35,
