Version 1.0,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,
"Public Transfers, Health, Inflows",368,774,526,350,256,218,206,180,165,168,200,230,233,202,152,130,127,164,196,202,192,191,215,240,255,257,251,301,356,385,394,372,323,292,292,298,347,455,533,546,552,482,364,319,310,302,306,331,375,405,445,520,600,659,682,671,653,658,662,661,651,633,606,593,580,590,612,662,719,763,805,850,893,942,994,"1,047","1,116","1,190","1,270","1,310","1,336","1,328","1,315","1,313","1,306","1,297","1,290","1,273","1,252","1,234","1,214","1,166",
"PublicTransfers,  Health, Outflows",376,68,71,74,75,75,77,80,84,85,84,85,87,97,103,118,131,143,154,190,238,285,319,360,411,453,491,521,538,545,554,560,570,587,607,619,623,627,634,644,657,680,678,663,663,664,674,695,697,696,699,702,700,685,671,660,650,640,623,582,546,518,486,460,437,422,409,378,366,354,338,320,300,286,270,260,253,244,233,222,211,200,189,177,166,154,143,131,120,109,100,94,
"Public Transfers, Pensions",1,-53,-56,-58,-58,-59,-60,-62,-66,-66,-65,-65,-68,-74,-76,-83,-93,-105,-119,-147,-183,-212,-230,-256,-292,-333,-371,-400,-419,-424,-423,-423,-428,-440,-458,-474,-472,-462,-456,-453,-453,-473,-484,-469,-452,-435,-427,-414,-374,-318,-250,-148,-8,149,328,482,644,812,979,"1,173","1,356","1,516","1,640","1,754","1,871","1,991","2,082","2,114","2,148","2,219","2,299","2,357","2,398","2,433","2,447","2,463","2,465","2,462","2,449","2,397","2,344","2,283","2,221","2,159","2,094","2,032","1,969","1,902","1,836","1,772","1,707","1,640",
"Public Transfers, Pensions, Inflows",295,0,0,0,0,0,0,0,0,0,1,1,1,2,5,10,10,7,1,2,3,10,19,26,29,22,13,8,1,3,10,15,18,19,16,10,15,28,39,50,61,58,47,49,67,84,100,129,171,227,297,401,539,684,852,999,"1,152","1,312","1,466","1,628","1,783","1,921","2,020","2,114","2,212","2,321","2,402","2,409","2,434","2,496","2,563","2,607","2,632","2,657","2,658","2,666","2,663","2,652","2,631","2,571","2,509","2,439","2,369","2,297","2,224","2,152","2,081","2,004","1,929","1,857","1,785","1,714",
"Public Transfers, Pensions, Outflows",294,53,56,58,58,59,60,62,66,66,65,66,68,76,81,92,102,112,120,148,186,222,249,282,321,355,384,408,420,426,433,438,446,459,474,484,487,490,495,503,513,532,530,518,519,519,527,544,545,544,547,549,547,536,525,516,508,500,487,455,427,405,380,360,341,330,320,295,286,277,264,250,234,224,211,203,198,191,182,174,165,156,148,139,130,121,112,103,94,85,78,73,
"Public Transfers, Other in-kind",6,282,279,277,276,276,274,272,268,267,268,267,265,256,251,237,226,215,205,173,130,88,58,21,-24,-63,-96,-123,-138,-145,-152,-158,-167,-182,-200,-211,-215,-218,-224,-233,-244,-265,-264,-250,-250,-251,-260,-279,-280,-280,-282,-285,-283,-270,-257,-248,-239,-229,-214,-177,-145,-121,-92,-68,-48,-34,-23,5,15,26,41,56,75,87,102,110,117,125,135,144,154,164,174,184,195,205,215,226,236,245,253,259,
"Public Transfers, Other in-kind, Inflows",343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,
"Public Transfers, Other in-kind, Outflows",336,61,64,66,67,67,69,71,75,76,75,76,78,87,92,106,117,128,137,170,213,254,285,322,367,405,439,466,481,487,495,501,510,525,542,554,557,561,566,576,587,608,606,593,593,594,603,622,623,623,625,628,626,613,600,591,581,572,557,520,488,463,435,411,391,377,366,338,328,316,302,286,268,256,241,233,226,218,208,198,189,179,169,159,148,138,128,117,107,97,90,84,
"Public Transfers, Other cash",2,21,20,19,19,26,34,38,41,39,41,46,50,50,41,30,34,29,17,2,-11,-23,-31,-31,-36,-53,-70,-84,-93,-82,-71,-58,-49,-53,-66,-83,-98,-105,-104,-100,-96,-102,-103,-101,-108,-115,-121,-128,-129,-128,-123,-118,-111,-101,-97,-94,-87,-76,-60,-30,0,31,68,107,151,194,231,270,303,341,382,423,463,501,540,577,612,645,675,702,725,747,770,794,819,844,871,899,926,953,978,"1,004",
"Public Transfers, Other cash, Inflows",110,40,40,40,41,47,56,61,65,63,65,70,75,77,71,64,71,70,61,57,57,59,61,72,82,77,71,65,61,74,88,102,114,115,107,95,81,75,77,85,92,92,91,89,82,75,72,72,71,72,77,83,90,95,96,95,99,107,119,137,157,180,208,239,276,315,348,378,408,443,478,515,549,583,618,651,684,715,742,765,786,805,824,844,866,888,911,936,961,984,"1,007","1,031",
"Public Transfers, Other cash, Outflows",108,19,20,21,21,22,22,23,24,24,24,24,25,28,30,34,38,41,44,54,68,82,91,103,118,130,141,149,154,156,159,161,163,168,174,177,179,180,182,184,188,195,194,190,190,190,193,199,200,200,200,201,200,196,192,189,186,183,179,167,156,149,139,132,125,121,117,108,105,101,97,92,86,82,77,75,72,70,67,64,60,57,54,51,48,44,41,38,34,31,29,27,
Private Transfers,84,"1,966","2,068","2,152","2,188","2,220","2,284","2,389","2,575","2,699","2,749","2,800","2,889","3,097","3,285","3,637","3,869","3,980","3,692","3,403","2,966","2,765","2,478","2,069","1,454",776,183,-88,-391,-725,"-1,023","-1,410","-1,797","-1,919","-2,076","-2,279","-2,457","-2,736","-3,047","-3,273","-3,551","-3,824","-4,014","-4,208","-4,355","-4,343","-4,231","-4,119","-3,918","-3,809","-3,796","-3,766","-3,712","-3,650","-3,519","-3,304","-3,108","-2,873","-2,642","-2,308","-2,051","-1,877","-1,607","-1,444","-1,262","-1,121",-976,-800,-690,-628,-550,-472,-375,-275,-169,-121,-63,-15,41,110,213,360,509,655,807,961,"1,112","1,268","1,419","1,576","1,736","1,925",
"Private Transfers, Inflows","2,907","1,973","2,077","2,159","2,191","2,226","2,300","2,411","2,599","2,719","2,764","2,816","2,911","3,132","3,322","3,678","3,954","4,125","3,948","3,927","3,825","3,905","3,842","3,727","3,547","3,348","3,196","3,194","3,137","2,994","2,850","2,686","2,556","2,568","2,579","2,568","2,536","2,420","2,315","2,309","2,288","2,289","2,296","2,228","2,151","2,142","2,241","2,356","2,468","2,558","2,673","2,788","2,870","2,903","2,997","3,129","3,250","3,345","3,375","3,332","3,271","3,224","3,203","3,178","3,187","3,185","3,186","3,115","3,079","3,019","2,953","2,881","2,807","2,787","2,757","2,724","2,692","2,633","2,557","2,509","2,482","2,503","2,522","2,535","2,556","2,581","2,604","2,639","2,672","2,709","2,751","2,833",
"Private Transfers, Outflows","2,822",7,9,7,4,7,15,22,24,20,15,16,23,34,36,41,84,145,256,524,859,"1,140","1,363","1,658","2,093","2,572","3,013","3,282","3,528","3,719","3,873","4,096","4,353","4,487","4,655","4,848","4,993","5,156","5,363","5,582","5,840","6,113","6,310","6,436","6,506","6,485","6,473","6,474","6,386","6,367","6,469","6,554","6,582","6,553","6,516","6,434","6,358","6,219","6,017","5,640","5,322","5,101","4,810","4,622","4,450","4,305","4,162","3,915","3,768","3,646","3,503","3,352","3,182","3,062","2,927","2,845","2,755","2,648","2,516","2,399","2,269","2,143","2,013","1,880","1,749","1,619","1,491","1,371","1,253","1,133","1,014",908,
Interhousehold Transfers,84,0,0,0,0,0,0,0,0,0,0,0,0,3,6,12,21,34,47,57,70,86,99,105,107,109,111,113,114,114,114,117,121,125,123,116,103,88,74,60,47,33,21,8,-3,-16,-19,-18,-11,13,43,68,87,96,117,151,180,207,235,256,282,310,334,358,385,408,431,449,467,482,487,478,468,458,447,438,431,417,409,400,392,382,360,348,336,323,310,296,274,262,251,241,
"Interhousehold Transfers, Inflows",209,0,0,0,0,0,0,0,0,0,0,0,0,3,6,12,23,37,53,70,90,115,139,160,178,195,211,225,238,251,263,275,285,292,293,292,290,288,287,285,284,286,289,291,296,300,310,321,334,358,387,405,421,426,442,465,487,504,522,540,559,575,589,605,619,633,645,656,665,671,670,656,642,631,619,610,600,583,572,560,547,534,509,493,478,462,446,428,403,388,373,359,
"Interhousehold Transfers, Outflows",125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,12,20,28,40,55,71,86,99,112,125,137,149,158,164,167,170,177,187,200,213,225,238,253,268,283,299,315,329,339,345,345,344,337,334,330,325,314,307,297,287,285,277,265,256,247,235,225,214,207,198,190,183,178,175,173,173,171,169,166,163,160,156,152,149,145,142,139,136,133,129,126,122,118,
Intrahousehold Transfers,0,"1,966","2,068","2,152","2,188","2,220","2,284","2,389","2,575","2,699","2,749","2,800","2,889","3,095","3,280","3,625","3,848","3,946","3,645","3,346","2,896","2,679","2,379","1,965","1,348",667,72,-201,-504,-839,"-1,137","-1,527","-1,918","-2,043","-2,199","-2,395","-2,560","-2,824","-3,122","-3,333","-3,598","-3,857","-4,035","-4,216","-4,352","-4,328","-4,212","-4,101","-3,907","-3,822","-3,839","-3,833","-3,799","-3,746","-3,636","-3,455","-3,288","-3,080","-2,878","-2,564","-2,333","-2,187","-1,941","-1,802","-1,647","-1,529","-1,407","-1,249","-1,156","-1,110","-1,037",-950,-843,-734,-616,-559,-493,-432,-369,-290,-179,-22,149,307,471,638,802,972,"1,145","1,314","1,485","1,684",
"Intrahousehold Transfers, Inflows","2,698","1,973","2,077","2,159","2,191","2,226","2,300","2,411","2,599","2,719","2,764","2,816","2,911","3,129","3,316","3,665","3,931","4,087","3,895","3,858","3,735","3,790","3,703","3,568","3,369","3,153","2,985","2,969","2,899","2,743","2,587","2,410","2,271","2,277","2,286","2,276","2,245","2,132","2,028","2,024","2,004","2,003","2,007","1,936","1,855","1,842","1,931","2,035","2,134","2,200","2,286","2,383","2,449","2,477","2,555","2,664","2,764","2,841","2,853","2,792","2,712","2,649","2,613","2,573","2,568","2,552","2,541","2,459","2,414","2,347","2,282","2,224","2,164","2,155","2,138","2,114","2,092","2,049","1,985","1,949","1,935","1,969","2,013","2,042","2,078","2,119","2,158","2,211","2,269","2,322","2,378","2,473",
"Intrahousehold Transfers, Outflows","2,698",7,9,7,4,7,15,22,24,20,15,16,23,34,36,40,83,142,249,512,839,"1,112","1,323","1,603","2,022","2,485","2,914","3,170","3,404","3,582","3,724","3,938","4,189","4,320","4,486","4,671","4,806","4,955","5,150","5,357","5,602","5,861","6,041","6,153","6,207","6,170","6,144","6,136","6,041","6,022","6,125","6,216","6,248","6,223","6,191","6,120","6,052","5,921","5,730","5,355","5,046","4,836","4,554","4,374","4,215","4,081","3,947","3,709","3,570","3,457","3,320","3,174","3,007","2,889","2,754","2,673","2,585","2,482","2,354","2,239","2,114","1,991","1,864","1,735","1,607","1,481","1,356","1,239","1,124","1,007",892,790,
"Intrahousehold Transfers, Consumption",0,"1,973","2,077","2,159","2,190","2,223","2,293","2,403","2,592","2,715","2,761","2,813","2,908","3,124","3,308","3,645","3,872","3,981","3,695","3,410","2,962","2,740","2,427","2,012","1,397",696,70,-270,-624,-927,"-1,210","-1,591","-1,945","-2,057","-2,228","-2,420","-2,575","-2,838","-3,146","-3,363","-3,636","-3,904","-4,101","-4,290","-4,430","-4,400","-4,270","-4,133","-3,905","-3,808","-3,821","-3,820","-3,786","-3,738","-3,647","-3,484","-3,345","-3,151","-2,941","-2,612","-2,362","-2,207","-1,951","-1,802","-1,648","-1,522","-1,384","-1,214","-1,120","-1,066",-984,-886,-755,-648,-536,-481,-416,-356,-293,-209,-95,64,236,393,556,723,888,"1,059","1,235","1,408","1,583","1,790",
