Version 1.0,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,
"Public Transfers, Other in-kind",0,"1,812","1,843","1,864","1,878","1,888","1,896","1,903","1,908","1,914","1,922","1,935","1,955","1,981","2,008","2,033","2,036","2,025","1,981","1,891","1,742","1,521","1,227",869,467,45,-373,-758,"-1,087","-1,349","-1,545","-1,685","-1,787","-1,868","-1,939","-2,005","-2,068","-2,132","-2,196","-2,254","-2,300","-2,331","-2,344","-2,341","-2,326","-2,307","-2,291","-2,282","-2,279","-2,277","-2,274","-2,263","-2,240","-2,191","-2,087","-1,880","-1,542","-1,074",-519,66,621,"1,088","1,430","1,649","1,783","1,871","1,938","1,987","2,021","2,047","2,074","2,103","2,129","2,144","2,144","2,135","2,123","2,110","2,091","2,063","2,031","2,006",0,0,0,0,0,0,0,0,0,0,
"Public Transfers, Other in-kind, Inflows","2,067","1,812","1,843","1,864","1,878","1,888","1,896","1,903","1,908","1,914","1,922","1,935","1,955","1,981","2,008","2,033","2,055","2,073","2,086","2,094","2,097","2,095","2,088","2,084","2,086","2,094","2,104","2,112","2,122","2,128","2,130","2,127","2,118","2,102","2,083","2,063","2,047","2,034","2,023","2,016","2,012","2,010","2,010","2,011","2,012","2,013","2,011","2,010","2,010","2,014","2,022","2,032","2,045","2,059","2,077","2,097","2,119","2,142","2,165","2,186","2,204","2,214","2,215","2,208","2,200","2,193","2,187","2,180","2,172","2,166","2,169","2,180","2,192","2,194","2,186","2,170","2,152","2,134","2,111","2,078","2,041","2,012",0,0,0,0,0,0,0,0,0,0,
"Public Transfers, Other in-kind, Outflows","2,067",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,49,105,203,355,573,861,"1,215","1,619","2,049","2,476","2,870","3,208","3,477","3,675","3,811","3,904","3,970","4,022","4,069","4,115","4,166","4,219","4,270","4,313","4,341","4,354","4,352","4,338","4,319","4,302","4,292","4,288","4,291","4,296","4,296","4,284","4,250","4,163","3,978","3,661","3,216","2,684","2,120","1,583","1,126",785,559,417,321,249,193,151,119,95,77,62,50,41,34,29,24,20,15,11,6,0,0,0,0,0,0,0,0,0,0,
"Public Transfers, Other cash",-37,0,0,0,0,0,0,0,0,0,0,0,1,4,10,25,62,146,280,415,529,620,667,666,632,582,551,556,580,615,657,702,737,734,711,692,639,532,430,332,210,51,-118,-257,-393,-553,-701,-816,-906,-966,"-1,018","-1,065","-1,101","-1,152","-1,204","-1,212","-1,151",-999,-803,-608,-419,-267,-172,-128,-114,-95,-67,-48,-44,-47,-42,-35,-28,-23,-18,-16,-13,-11,-9,-7,-5,-3,0,0,0,0,0,0,0,0,0,0,
"Public Transfers, Other cash, Inflows",912,0,0,0,0,0,0,0,0,0,0,0,1,4,10,25,68,164,321,499,680,870,"1,050","1,215","1,371","1,524","1,694","1,884","2,066","2,225","2,356","2,460","2,534","2,560","2,559","2,561","2,528","2,444","2,368","2,296","2,194","2,048","1,885","1,744","1,600","1,430","1,273","1,153","1,062","1,004",956,910,869,807,725,641,556,493,434,362,294,227,165,115,72,50,45,38,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Public Transfers, Other cash, Outflows",950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,41,84,152,251,384,549,739,942,"1,143","1,328","1,486","1,610","1,698","1,758","1,797","1,825","1,848","1,869","1,889","1,912","1,938","1,963","1,983","1,996","2,002","2,001","1,993","1,983","1,974","1,970","1,968","1,970","1,974","1,975","1,971","1,958","1,929","1,854","1,707","1,492","1,237",970,713,494,337,243,186,144,111,86,68,53,43,35,28,23,18,16,13,11,9,7,5,3,0,0,0,0,0,0,0,0,0,0,
Private Transfers,0,"2,271","2,279","2,300","2,340","2,407","2,493","2,619","2,788","2,969","3,197","3,331","3,573","3,675","3,936","4,115","4,227","4,373","4,311","4,214","3,634","2,993","2,298","1,473",611,-309,"-1,196","-1,915","-2,400","-2,656","-2,828","-2,785","-2,657","-2,592","-2,660","-2,813","-2,958","-3,079","-3,162","-3,173","-3,060","-2,899","-2,778","-2,821","-2,893","-2,881","-2,792","-2,619","-2,351","-2,040","-1,691","-1,352","-1,034",-618,-202,84,233,279,367,499,643,760,931,"1,090","1,202","1,222","1,160","1,046",911,765,619,496,434,472,513,490,461,478,480,409,321,281,0,0,0,0,0,0,0,0,0,0,
"Private Transfers, Inflows","4,347","2,271","2,279","2,300","2,340","2,407","2,493","2,619","2,788","2,969","3,197","3,331","3,573","3,675","3,936","4,115","4,227","4,373","4,311","4,214","4,135","3,894","3,738","3,575","3,505","3,490","3,544","3,687","3,886","4,136","4,298","4,501","4,679","4,790","4,836","4,843","4,837","4,822","4,812","4,833","4,912","4,972","5,006","4,968","4,935","4,927","4,925","5,010","5,211","5,467","5,761","6,072","6,327","6,617","6,898","7,101","7,202","7,174","7,081","6,875","6,519","6,042","5,597","5,185","4,788","4,388","4,016","3,698","3,434","3,195","2,950","2,730","2,571","2,508","2,456","2,357","2,272","2,247","2,222","2,150","2,069","2,022",0,0,0,0,0,0,0,0,0,0,
"Private Transfers, Outflows","4,347",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,901,"1,440","2,102","2,894","3,799","4,740","5,602","6,286","6,791","7,127","7,286","7,335","7,383","7,496","7,656","7,795","7,900","7,974","8,006","7,972","7,872","7,784","7,789","7,828","7,808","7,717","7,629","7,562","7,506","7,452","7,424","7,361","7,235","7,100","7,016","6,969","6,895","6,714","6,375","5,876","5,282","4,666","4,095","3,587","3,166","2,856","2,652","2,523","2,430","2,331","2,234","2,137","2,037","1,944","1,867","1,811","1,770","1,742","1,741","1,748","1,741",0,0,0,0,0,0,0,0,0,0,
Interhousehold Transfers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,34,56,82,108,131,151,169,185,201,217,231,242,248,249,244,236,226,216,206,196,185,170,151,127,98,65,32,-1,-33,-65,-96,-124,-148,-167,-182,-194,-204,-212,-219,-225,-229,-232,-234,-234,-233,-231,-228,-225,-222,-219,-216,-210,-202,-191,-178,-163,-146,-128,-108,-88,-66,0,0,0,0,0,0,0,0,0,0,
