tract_id,Tract,pop,County,Total_units,Vacant,BLT_After2010,BLT_2000_2009,BLT_1990_1999,BLT_1980_1989,BLT_1970_1979,BLT_1960_1969,BLT_1950_1959,BLT_1940_1949,BLT_Before1939,Owner_occupied,Renter_occupied,VALUE_Less299k,VALUE_300_499k,VALUE_500_999k,VALUE_1Mup,RENT_Less749,RENT_750_999,RENT_1k_1499,RENT_1k5up
15003003404,34.04,4716,Honolulu County,2407,64,0,0,103,196,1291,602,110,63,42,746,1597,182,366,184,14,121,255,839,382
15003003405,34.05,3250,Honolulu County,1961,203,0,104,45,146,772,591,160,90,53,527,1231,257,182,88,0,116,388,556,171
15003003406,34.06,5777,Honolulu County,3004,173,13,45,236,567,1229,696,78,70,70,1151,1680,522,490,81,58,226,272,976,206
15003003407,34.07,913,Honolulu County,543,115,0,0,24,63,116,266,28,30,16,190,238,41,54,83,12,30,51,56,101
15003003501,35.01,2282,Honolulu County,1421,218,0,184,77,127,644,199,82,74,34,309,894,106,62,129,12,293,138,340,123
15003003502,35.02,3876,Honolulu County,2159,184,0,54,797,281,568,306,50,93,10,758,1217,88,484,186,0,410,232,358,217
15003003601,36.01,4109,Honolulu County,2191,157,45,753,130,207,434,230,277,107,8,393,1641,71,62,225,35,272,374,537,458
15003003603,36.03,2807,Honolulu County,1719,231,0,0,10,323,695,582,80,0,29,397,1091,117,251,20,9,539,130,369,53
15003003604,36.04,2519,Honolulu County,1540,191,0,24,0,123,518,705,102,30,38,431,918,190,186,37,18,15,118,575,210
15003003700,37,5579,Honolulu County,3683,857,55,731,1131,86,837,569,188,37,49,1388,1438,47,491,628,222,106,129,500,703
15003003800,38,3970,Honolulu County,2196,215,0,277,1130,505,163,86,8,12,15,821,1160,42,307,404,68,361,80,237,482
15003003900,39,655,Honolulu County,287,28,0,0,144,25,45,18,55,0,0,18,241,14,4,0,0,188,13,40,0
15003004000,40,1552,Honolulu County,1018,230,0,7,205,295,374,112,21,0,4,296,492,91,97,97,11,54,98,187,153
15003004100,41,4504,Honolulu County,2328,184,0,172,73,282,756,583,186,169,107,795,1349,320,371,80,24,392,308,590,59
15003004200,42,3432,Honolulu County,1938,95,0,314,39,46,723,667,60,59,30,987,856,291,531,156,9,87,60,477,232
15003004300,43,5591,Honolulu County,2571,177,0,16,164,449,599,634,322,144,243,917,1477,272,189,443,13,182,275,781,239
15003004400,44,5165,Honolulu County,1667,117,2,101,254,71,172,170,392,277,228,1137,413,104,166,772,95,91,25,151,146
15003004500,45,5145,Honolulu County,2278,123,0,55,267,299,513,332,363,185,264,1621,534,90,155,979,397,27,0,158,349
15003004600,46,3735,Honolulu County,1271,32,10,78,147,148,137,134,372,77,168,1021,218,65,44,584,328,42,9,33,134
15003004700,47,4553,Honolulu County,1557,61,0,74,67,72,122,261,557,229,175,1043,453,14,140,676,213,108,118,97,130
15003004800,48,6707,Honolulu County,1836,168,0,69,75,106,254,374,320,339,299,899,769,30,153,626,90,157,50,160,402
15003004900,49,3198,Honolulu County,1012,93,0,18,54,73,267,282,150,124,44,431,488,59,147,225,0,93,126,175,94
15003005000,50,4049,Honolulu County,1604,80,0,44,182,193,406,331,213,98,137,711,813,32,373,237,69,194,210,242,167
15003005100,51,3090,Honolulu County,1540,62,0,5,323,519,550,130,13,0,0,462,1016,76,213,173,0,604,93,55,264
15003005200,52,3293,Honolulu County,1581,137,0,0,427,506,225,120,147,129,27,17,1427,0,0,17,0,867,362,185,13
15003005300,53,3636,Honolulu County,1527,99,0,39,18,61,755,448,162,36,8,119,1309,44,65,10,0,645,304,256,104
15003005400,54,1637,Honolulu County,421,23,0,0,0,18,13,78,178,31,103,0,398,0,0,0,0,314,23,58,3
15003005500,55,2078,Honolulu County,669,65,0,52,11,74,119,161,144,5,103,207,397,27,56,119,5,173,81,127,16
15003005600,56,6749,Honolulu County,1857,87,0,59,216,277,293,309,371,199,133,757,1013,216,199,335,7,462,133,293,125
15003005700,57,2148,Honolulu County,931,153,0,288,16,19,123,166,149,102,68,133,645,18,100,15,0,329,68,216,32
15003005800,58,3440,Honolulu County,1006,0,0,12,155,19,293,286,124,65,52,345,661,317,0,28,0,393,40,202,26
15003005900,59,3353,Honolulu County,616,79,0,0,0,12,105,268,150,64,17,67,470,0,20,36,11,102,112,226,30
15003006000,60,5421,Honolulu County,1252,135,15,50,24,129,261,356,226,88,103,395,722,144,44,168,39,36,61,407,218
15003006100,61,4175,Honolulu County,767,17,4,14,22,77,115,159,153,48,175,417,333,28,92,268,29,27,12,106,188
15003006201,62.01,6047,Honolulu County,1513,114,0,65,24,55,453,457,210,156,93,587,812,140,170,255,22,303,137,276,96
15003006202,62.02,1701,Honolulu County,428,6,2,6,0,0,31,293,83,13,0,11,411,5,0,6,0,294,88,29,0
15003006301,63.01,3773,Honolulu County,867,46,0,22,22,22,85,237,400,64,15,526,295,25,73,380,48,91,32,88,84
15003006302,63.02,2720,Honolulu County,561,17,0,25,24,71,12,86,246,81,16,159,385,9,88,62,0,243,72,43,27
15003006401,64.01,2059,Honolulu County,405,15,0,28,45,58,39,77,105,48,5,250,140,0,60,190,0,34,0,76,30
15003006402,64.02,6387,Honolulu County,1451,75,0,185,140,39,279,320,321,66,101,774,602,118,286,364,6,64,109,140,289
15003006500,65,4541,Honolulu County,1033,60,0,51,86,67,73,216,323,130,87,677,296,48,214,406,9,15,30,153,98
15003006600,66,374,Honolulu County,150,42,12,18,0,0,8,13,0,63,36,0,108,0,0,0,0,0,0,0,108
15003006701,67.01,5830,Honolulu County,1888,96,0,21,38,56,195,1309,250,19,0,1378,414,104,116,1152,6,72,7,74,261
15003006702,67.02,1989,Honolulu County,948,15,0,20,283,93,216,289,32,15,0,121,812,5,13,103,0,35,6,295,476
15003006802,68.02,6842,Honolulu County,1619,99,11,56,52,91,226,309,787,60,27,927,593,44,208,657,18,19,71,299,204
15003006804,68.04,2835,Honolulu County,910,46,22,719,0,0,116,20,17,0,16,0,864,0,0,0,0,31,11,0,822
15003006805,68.05,6167,Honolulu County,2556,192,0,238,660,595,862,158,19,24,0,1482,882,241,610,594,37,43,0,188,651
15003006806,68.06,1704,Honolulu County,551,0,8,6,10,11,141,358,12,0,5,513,38,21,6,480,6,26,0,0,12
15003006808,68.08,4423,Honolulu County,2123,197,0,0,40,522,1249,222,52,5,33,909,1017,292,454,152,11,186,90,414,327
15003006809,68.09,5040,Honolulu County,2033,127,0,0,41,193,1304,420,46,0,29,866,1040,509,357,0,0,195,169,404,272
15003006900,69,3823,Honolulu County,993,13,6,754,135,30,27,15,7,0,19,4,976,0,4,0,0,30,5,7,934
15003007000,70,4041,Honolulu County,1335,23,0,669,468,21,138,17,9,13,0,19,1293,10,0,0,9,53,0,26,1214
15003007100,71,2713,Honolulu County,794,119,0,518,45,28,62,67,64,10,0,0,675,0,0,0,0,39,5,44,587
15003007302,73.02,3866,Honolulu County,1557,224,0,524,294,56,84,54,187,92,266,0,1333,0,0,0,0,83,10,52,1188
15003007303,73.03,341,Honolulu County,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5
15003007400,74,3981,Honolulu County,951,126,0,504,152,39,34,9,32,72,109,36,789,21,0,15,0,111,0,29,649
15003007502,75.02,1376,Honolulu County,71,28,0,59,0,4,4,0,0,4,0,0,43,0,0,0,0,0,4,4,35
15003007503,75.03,5160,Honolulu County,1642,64,10,108,75,113,147,695,444,9,41,1154,424,47,173,922,12,48,62,91,223
15003007504,75.04,3171,Honolulu County,863,69,0,0,15,98,391,349,5,0,5,256,538,20,48,188,0,308,106,93,31
15003007505,75.05,5338,Honolulu County,1756,33,0,0,112,487,266,526,300,56,9,1222,501,166,295,751,10,53,23,89,336
15003007506,75.06,933,Honolulu County,232,95,0,3,35,18,68,56,52,0,0,0,137,0,0,0,0,8,0,0,129
15003007701,77.01,4240,Honolulu County,1335,69,0,231,75,29,191,124,397,152,136,847,419,128,113,586,20,83,0,104,232
15003007702,77.02,5098,Honolulu County,1656,46,6,53,211,93,197,595,399,69,33,1293,317,32,83,1040,138,85,18,34,180
15003007804,78.04,1907,Honolulu County,564,0,0,0,0,3,241,121,181,12,6,543,21,60,29,446,8,10,0,0,11
15003007805,78.05,5136,Honolulu County,1752,24,0,0,29,131,1358,160,74,0,0,1187,541,386,516,285,0,39,11,106,385
15003007807,78.07,5405,Honolulu County,3027,282,0,15,12,911,1819,115,113,31,11,1184,1561,505,650,29,0,116,150,767,528
15003007808,78.08,3346,Honolulu County,1091,75,0,2,104,287,186,252,226,7,27,506,510,234,104,166,2,18,52,233,207
15003007809,78.09,3377,Honolulu County,1175,35,0,3,65,852,204,11,29,0,11,938,202,63,243,413,219,9,29,9,155
15003007810,78.1,5450,Honolulu County,1951,58,9,23,167,530,1194,28,0,0,0,1641,252,44,211,1360,26,20,0,6,226
15003007811,78.11,4990,Honolulu County,1871,129,0,22,49,145,1325,141,189,0,0,1387,355,86,678,561,62,37,7,10,301
15003008001,80.01,2005,Honolulu County,696,0,0,0,205,90,185,84,69,58,5,165,531,52,35,78,0,179,124,132,96
15003008002,80.02,2837,Honolulu County,820,66,0,5,47,20,120,132,466,25,5,572,182,98,105,354,15,68,0,56,58
15003008003,80.03,4668,Honolulu County,1821,98,0,239,32,675,561,238,43,16,17,566,1157,284,172,102,8,246,167,366,378
15003008005,80.05,6864,Honolulu County,1999,84,0,29,79,110,232,1352,170,27,0,1627,288,94,553,962,18,51,0,21,216
15003008006,80.06,4858,Honolulu County,1434,14,0,0,72,44,434,675,209,0,0,1327,93,79,158,1079,11,0,0,35,58
15003008007,80.07,5306,Honolulu County,1590,10,0,36,9,47,574,688,204,28,4,1470,110,52,225,1176,17,19,0,7,84
15003008301,83.01,4661,Honolulu County,1630,156,0,19,28,31,440,696,285,89,42,9,1465,9,0,0,0,8,11,13,1433
15003008302,83.02,6749,Honolulu County,1430,0,0,0,41,28,1091,263,7,0,0,992,438,440,394,158,0,31,0,210,197
15003008402,84.02,8206,Honolulu County,2018,230,22,84,143,104,292,638,574,115,46,1098,690,164,474,453,7,128,70,261,231
15003008405,84.05,4664,Honolulu County,1328,109,0,403,807,84,12,22,0,0,0,1019,200,19,726,274,0,0,0,81,119
15003008406,84.06,5997,Honolulu County,1702,154,14,1636,43,9,0,0,0,0,0,1299,249,20,677,589,13,30,0,0,219
15003008407,84.07,3325,Honolulu County,1173,166,0,818,330,8,0,17,0,0,0,768,239,120,354,294,0,0,0,0,239
15003008408,84.08,4728,Honolulu County,1564,164,80,1432,13,10,0,10,0,19,0,1092,308,40,567,474,11,7,22,17,262
15003008410,84.1,2346,Honolulu County,726,0,65,176,447,15,0,0,23,0,0,600,126,45,385,170,0,11,0,0,115
15003008411,84.11,3448,Honolulu County,1215,160,0,38,943,136,14,84,0,0,0,666,389,184,325,157,0,33,11,94,251
15003008412,84.12,6543,Honolulu County,2494,330,13,13,1739,716,0,13,0,0,0,1448,716,834,520,82,12,26,27,248,415
15003008502,85.02,2136,Honolulu County,684,100,0,49,147,26,229,120,39,62,12,36,548,0,36,0,0,23,15,16,494
15003008606,86.06,9693,Honolulu County,2648,67,104,469,1754,233,46,0,0,42,0,2120,461,278,900,915,27,55,36,114,256
15003008609,86.09,2066,Honolulu County,794,200,0,197,311,41,142,72,21,10,0,295,299,7,234,54,0,30,12,0,257
15003008610,86.1,1051,Honolulu County,1007,518,14,891,48,23,15,8,8,0,0,262,227,15,60,173,14,5,0,0,222
15003008611,86.11,84,Honolulu County,68,0,0,33,4,14,14,0,0,0,3,21,47,0,4,17,0,0,14,0,33
15003008612,86.12,6017,Honolulu County,2124,211,0,755,633,425,304,7,0,0,0,1304,609,237,442,621,4,0,0,274,335
