Tract,County,Total_units,Occupied,Vacant,Owner_occupied,Renter_occupied,VALUE_Less299k,VALUE_300_499k,VALUE_500_999k,VALUE_1Mup,RENT_Less749,RENT_750_999,RENT_1k_1499,RENT_1k5up
402.04,Kauai County,2035,1785,250,1268,456,45,317,775,131,91,60,182,184
402.05,Kauai County,1935,1382,553,808,542,78,301,402,27,82,87,197,208
403,Kauai County,3403,2563,840,1690,823,275,784,589,42,296,80,253,244
404,Kauai County,2951,2613,338,1795,765,395,821,478,101,194,141,222,261
405,Kauai County,2482,2156,326,1222,884,166,472,498,86,191,132,397,214
406.03,Kauai County,2082,964,1118,635,274,61,132,300,142,133,48,65,83
406.04,Kauai County,1615,1174,441,742,393,65,152,424,101,128,34,127,143
407,Kauai County,3188,2649,539,1751,803,131,791,711,118,358,91,231,218
408,Kauai County,1277,1170,107,559,591,63,257,230,9,339,92,127,53
409,Kauai County,2273,1647,626,939,639,128,435,324,52,169,86,256,197
41,Honolulu County,2328,2144,184,795,1235,320,371,80,24,392,308,590,59
412,Kauai County,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Honolulu County,1938,1843,95,987,803,291,531,156,9,87,60,477,232
43,Honolulu County,2571,2394,177,917,1453,272,189,443,13,182,275,781,239
44,Honolulu County,1667,1550,117,1137,376,104,166,772,95,91,25,151,146
45,Honolulu County,2278,2155,123,1621,529,90,155,979,397,27,0,158,349
46,Honolulu County,1271,1239,32,1021,176,65,44,584,328,42,9,33,134
47,Honolulu County,1557,1496,61,1043,367,14,140,676,213,108,118,97,130
48,Honolulu County,1836,1668,168,899,725,30,153,626,90,157,50,160,402
49,Honolulu County,1012,919,93,431,453,59,147,225,0,93,126,175,94
5,Honolulu County,1689,1305,384,1042,216,37,38,195,772,47,0,23,193
50,Honolulu County,1604,1524,80,711,792,32,373,237,69,194,210,242,167
51,Honolulu County,1540,1478,62,462,1006,76,213,173,0,604,93,55,264
52,Honolulu County,1581,1444,137,17,1427,0,0,17,0,867,362,185,13
53,Honolulu County,1527,1428,99,119,1301,44,65,10,0,645,304,256,104
54,Honolulu County,421,398,23,0,395,0,0,0,0,314,23,58,3
55,Honolulu County,669,604,65,207,397,27,56,119,5,173,81,127,16
56,Honolulu County,1857,1770,87,757,971,216,199,335,7,462,133,293,125
57,Honolulu County,931,778,153,133,632,18,100,15,0,329,68,216,32
58,Honolulu County,1006,1006,0,345,628,317,0,28,0,393,40,202,26
59,Honolulu County,616,537,79,67,470,0,20,36,11,102,112,226,30
6,Honolulu County,540,452,88,344,55,12,0,33,299,53,0,0,55
60,Honolulu County,1252,1117,135,395,713,144,44,168,39,36,61,407,218
61,Honolulu County,767,750,17,417,328,28,92,268,29,27,12,106,188
62.01,Honolulu County,1513,1399,114,587,788,140,170,255,22,303,137,276,96
62.02,Honolulu County,428,422,6,11,398,5,0,6,0,294,88,29,0
63.01,Honolulu County,867,821,46,526,275,25,73,380,48,91,32,88,84
63.02,Honolulu County,561,544,17,159,365,9,88,62,0,243,72,43,27
64.01,Honolulu County,405,390,15,250,110,0,60,190,0,34,0,76,30
64.02,Honolulu County,1451,1376,75,774,566,118,286,364,6,64,109,140,289
65,Honolulu County,1033,973,60,677,289,48,214,406,9,15,30,153,98
66,Honolulu County,150,108,42,0,108,0,0,0,0,0,0,0,108
67.01,Honolulu County,1888,1792,96,1378,342,104,116,1152,6,72,7,74,261
67.02,Honolulu County,948,933,15,121,812,5,13,103,0,35,6,295,476
68.02,Honolulu County,1619,1520,99,927,582,44,208,657,18,19,71,299,204
68.04,Honolulu County,910,864,46,0,833,0,0,0,0,31,11,0,822
68.05,Honolulu County,2556,2364,192,1482,839,241,610,594,37,43,0,188,651
68.06,Honolulu County,551,551,0,513,12,21,6,480,6,26,0,0,12
68.08,Honolulu County,2123,1926,197,909,910,292,454,152,11,186,90,414,327
68.09,Honolulu County,2033,1906,127,866,990,509,357,0,0,195,169,404,272
69,Honolulu County,993,980,13,4,946,0,4,0,0,30,5,7,934
7,Honolulu County,1021,930,91,687,192,25,38,550,74,61,20,17,145
70,Honolulu County,1335,1312,23,19,1249,10,0,0,9,53,0,26,1214
71,Honolulu County,794,675,119,0,645,0,0,0,0,39,5,44,587
73.02,Honolulu County,1557,1333,224,0,1250,0,0,0,0,83,10,52,1188
73.03,Honolulu County,5,5,0,0,5,0,0,0,0,0,0,0,5
74,Honolulu County,951,825,126,36,701,21,0,15,0,111,0,29,649
75.02,Honolulu County,71,43,28,0,43,0,0,0,0,0,4,4,35
75.03,Honolulu County,1642,1578,64,1154,376,47,173,922,12,48,62,91,223
75.04,Honolulu County,863,794,69,256,538,20,48,188,0,308,106,93,31
75.05,Honolulu County,1756,1723,33,1222,501,166,295,751,10,53,23,89,336
75.06,Honolulu County,232,137,95,0,132,0,0,0,0,8,0,0,129
77.01,Honolulu County,1335,1266,69,847,336,128,113,586,20,83,0,104,232
77.02,Honolulu County,1656,1610,46,1293,232,32,83,1040,138,85,18,34,180
78.04,Honolulu County,564,564,0,543,11,60,29,446,8,10,0,0,11
78.05,Honolulu County,1752,1728,24,1187,502,386,516,285,0,39,11,106,385
78.07,Honolulu County,3027,2745,282,1184,1487,505,650,29,0,116,150,767,528
78.08,Honolulu County,1091,1016,75,506,492,234,104,166,2,18,52,233,207
78.09,Honolulu County,1175,1140,35,938,193,63,243,413,219,9,29,9,155
78.1,Honolulu County,1951,1893,58,1641,232,44,211,1360,26,20,0,6,226
78.11,Honolulu County,1871,1742,129,1387,327,86,678,561,62,37,7,10,301
8,Honolulu County,1344,1319,25,842,392,7,91,624,120,98,99,46,234
80.01,Honolulu County,696,696,0,165,513,52,35,78,0,179,124,132,96
80.02,Honolulu County,820,754,66,572,114,98,105,354,15,68,0,56,58
80.03,Honolulu County,1821,1723,98,566,1136,284,172,102,8,246,167,366,378
80.05,Honolulu County,1999,1915,84,1627,254,94,553,962,18,51,0,21,216
80.06,Honolulu County,1434,1420,14,1327,93,79,158,1079,11,0,0,35,58
80.07,Honolulu County,1590,1580,10,1470,91,52,225,1176,17,19,0,7,84
83.01,Honolulu County,1630,1474,156,9,1457,9,0,0,0,8,11,13,1433
83.02,Honolulu County,1430,1430,0,992,438,440,394,158,0,31,0,210,197
