Tract,County,Total_units,Occupied,Vacant,Owner_occupied,VALUE_Less50k,VALUE_50_99k,VALUE_100_149k,VALUE_150_199k,VALUE_200_299k,VALUE_300_499k,VALUE_500_999k,VALUE_1Mup,VALUE_Median,rent_units,RENT_less200,RENT_200_299,RENT_300_499,RENT_500_749,RENT_750_999,RENT_1k_1499,RENT_1k5up,RENT_Median,RENT_0
30,Honolulu County,1615,1437,178,918,0,0,0,0,0,13,451,454,996400,510,13,0,0,19,81,81,316,1780,9
301,Maui County,928,613,315,381,0,16,1,4,22,116,92,130,609400,163,0,8,0,28,36,38,53,1254,69
302.01,Maui County,1111,945,166,638,0,32,0,0,15,118,394,79,651000,281,0,0,0,16,29,95,141,1502,26
302.02,Maui County,3172,2895,277,1657,17,11,0,18,104,306,918,283,711200,1088,0,0,0,80,192,426,390,1223,150
303.01,Maui County,3579,3161,418,1705,0,19,55,8,20,302,805,496,740100,1270,0,14,0,0,200,505,551,1429,186
303.03,Maui County,3642,1769,1873,1131,6,23,6,12,13,39,343,689,"1,000,000",549,0,0,0,0,64,69,416,1840,89
304.02,Maui County,3324,2995,329,1880,15,0,34,20,15,357,1370,69,619000,1024,0,0,0,66,101,510,347,1305,91
304.03,Maui County,1321,1228,93,650,0,13,36,22,26,210,290,53,524100,547,0,0,0,0,120,202,225,1368,31
304.04,Maui County,1994,1817,177,1008,10,0,1,2,46,293,571,85,581200,764,0,0,43,39,49,304,329,1421,45
305.01,Maui County,1014,797,217,498,0,5,10,3,0,178,213,89,575700,273,0,10,8,23,49,59,124,1427,26
307.05,Maui County,1135,987,148,544,4,0,0,0,11,155,347,27,594800,411,0,0,0,0,98,217,96,1238,32
307.06,Maui County,1325,1122,203,464,0,0,34,54,73,82,200,21,459300,651,0,0,28,0,21,303,299,1450,7
307.07,Maui County,4444,3078,1366,1681,14,9,13,162,131,792,536,24,439300,1343,0,9,0,0,116,358,860,1676,54
307.08,Maui County,1431,1238,193,522,0,0,11,0,26,154,242,89,576400,699,0,0,0,62,108,146,383,1633,17
307.09,Maui County,3924,1877,2047,775,0,0,27,27,35,193,389,104,605900,1073,0,0,0,10,121,359,583,1600,29
307.1,Maui County,2486,1136,1350,771,0,0,10,27,84,120,459,71,628600,356,0,0,0,45,26,63,222,1677,9
308,Maui County,2058,1856,202,1547,2,30,9,20,169,528,714,75,507100,262,0,0,5,0,28,57,172,1797,47
309.01,Maui County,1178,1109,69,414,7,0,55,9,44,187,112,0,391100,675,10,0,43,218,164,103,137,783,20
309.02,Maui County,1308,1091,217,585,18,10,63,45,109,183,117,40,362500,452,0,9,0,100,38,177,128,1296,54
309.03,Maui County,1806,1806,0,1465,31,46,64,85,93,465,670,11,478000,275,0,0,115,0,19,56,85,1020,66
31.01,Honolulu County,1363,1325,38,1032,0,20,18,0,26,77,609,282,880400,212,0,0,0,14,71,34,93,1239,81
31.02,Honolulu County,1191,1165,26,965,0,13,25,0,15,50,549,313,884500,157,0,0,9,0,22,6,120,"2,000",43
310,Maui County,3200,2902,298,2153,17,0,27,30,89,646,1222,122,576800,709,0,0,0,26,97,248,338,1435,40
311.01,Maui County,2204,1990,214,1207,35,93,79,0,51,260,624,65,544800,771,0,52,0,205,289,190,35,932,12
311.02,Maui County,1693,1433,260,650,0,6,15,0,7,280,258,84,519300,661,0,53,33,74,77,343,81,1090,122
311.03,Maui County,2055,1885,170,1267,27,31,26,0,54,391,725,13,538900,544,0,74,56,66,98,145,105,944,74
314.02,Maui County,936,783,153,591,12,3,31,12,57,90,314,72,594700,154,0,0,0,31,0,15,108,1672,38
314.04,Maui County,1862,1250,612,393,0,0,0,0,72,63,193,65,665300,824,34,23,18,77,229,266,177,1047,33
314.05,Maui County,1370,1233,137,678,8,28,13,7,0,165,398,59,630500,555,20,0,29,36,196,203,71,991,0
315.01,Maui County,1824,756,1068,517,0,16,0,33,16,168,142,142,572400,225,0,0,0,10,123,11,81,973,14
315.02,Maui County,3631,1869,1762,886,0,0,22,55,162,288,262,97,441700,972,0,0,0,0,50,485,437,1394,11
315.03,Maui County,2716,1104,1612,534,3,0,16,0,0,31,203,281,"1,000,000",510,14,14,0,29,45,302,106,1225,60
316.01,Maui County,1416,1045,371,604,0,27,30,13,71,311,136,16,426800,414,0,9,28,94,74,156,53,1004,27
317,Maui County,2126,1678,448,935,20,10,21,102,294,274,168,46,308900,559,12,24,119,92,83,131,98,839,184
318.01,Maui County,1362,837,525,524,21,48,53,100,162,88,40,12,232300,255,8,6,23,21,58,56,83,1093,58
319,Kalawao County,95,48,47,0,0,0,0,0,0,0,0,0,0,31,0,7,9,2,4,1,8,438,17
319,Maui County,1700,1541,159,774,0,19,0,0,33,195,502,25,604200,669,22,0,21,9,71,335,211,1301,98
32,Honolulu County,371,350,21,274,0,0,0,0,0,29,92,153,"1,000,000",52,0,0,0,0,0,0,52,"2,000",24
320,Maui County,915,441,474,336,0,0,2,1,22,99,129,83,614600,85,0,0,0,0,1,31,53,1763,20
33,Honolulu County,419,388,31,319,0,0,0,2,21,61,87,148,959500,50,0,0,0,32,0,12,6,718,19
34.03,Honolulu County,3060,2834,226,1184,26,0,29,39,406,399,275,10,342000,1557,12,0,20,85,373,636,431,1261,93
34.04,Honolulu County,2407,2343,64,746,0,0,0,0,182,366,184,14,377000,1476,0,0,0,0,255,839,382,1306,121
34.05,Honolulu County,1961,1758,203,527,27,18,6,82,124,182,88,0,303900,1173,27,0,0,31,388,556,171,1101,58
34.06,Honolulu County,3004,2831,173,1151,52,45,13,57,355,490,81,58,318700,1550,0,26,28,42,272,976,206,1185,130
34.07,Honolulu County,543,428,115,190,6,9,0,0,26,54,83,12,500000,208,0,0,0,0,51,56,101,1477,30
35.01,Honolulu County,1421,1203,218,309,0,0,0,9,97,62,129,12,378200,864,0,56,65,142,138,340,123,1028,30
35.02,Honolulu County,2159,1975,184,758,7,0,0,0,81,484,186,0,384600,1154,22,86,89,150,232,358,217,997,63
36.01,Honolulu County,2191,2034,157,393,0,15,17,9,30,62,225,35,586300,1595,0,10,0,216,374,537,458,1135,46
36.03,Honolulu County,1719,1488,231,397,14,0,13,51,39,251,20,9,337200,1051,114,155,162,68,130,369,53,850,40
36.04,Honolulu County,1540,1349,191,431,9,0,0,27,154,186,37,18,320700,903,0,0,0,0,118,575,210,1206,15
37,Honolulu County,3683,2826,857,1388,0,11,13,0,23,491,628,222,590100,1383,0,0,17,34,129,500,703,1520,55
38,Honolulu County,2196,1981,215,821,22,0,0,0,20,307,404,68,559600,1160,37,0,141,183,80,237,482,1257,0
39,Honolulu County,287,259,28,18,0,0,0,0,14,4,0,0,258300,241,9,0,59,120,13,40,0,534,0
4.01,Honolulu County,1020,1004,16,861,17,7,0,0,0,9,653,175,852100,135,0,0,0,11,11,19,94,"2,000",8
4.02,Honolulu County,1430,1370,60,1311,0,0,0,9,0,16,376,910,"1,000,000",44,0,0,0,0,0,0,44,"2,000",15
40,Honolulu County,1018,788,230,296,0,0,20,31,40,97,97,11,387700,492,16,0,4,34,98,187,153,1181,0
401.03,Kauai County,4235,2355,1880,1384,11,3,4,31,27,298,552,458,766000,890,21,12,0,41,62,183,571,1783,81
401.04,Kauai County,872,430,442,277,0,0,0,0,3,25,63,186,"1,000,000",142,0,0,0,0,4,84,54,1330,11
402.04,Kauai County,2035,1785,250,1268,0,22,13,0,10,317,775,131,663900,456,0,0,16,14,60,182,184,1436,61
402.05,Kauai County,1935,1382,553,808,26,8,7,0,37,301,402,27,518300,542,9,0,0,41,87,197,208,1334,32
403,Kauai County,3403,2563,840,1690,32,28,13,23,179,784,589,42,438000,823,66,44,48,88,80,253,244,1251,50
