SchCode,Year,CountOfSSN,SumOfFTE,TeachersFullyLicCnt,TeachersProvCredCnt,TeachersEmgcyCredCnt,TeachersRegSum,TeachersHeadCnt,TeachersAdminSum,TeacherSupSum,TeacherSpedSum,TeachersMiscSum,TeachersCounsSum,TeachersLibrSum,TeachersFullyLicPct,TeachersProvCredPct,TeachersEmgcyCredPct,TeachersRegPct,TeachersHeadPct,TeachersAdminPct,TeachersSupPct,TeachersSpedPct,TeachersMiscPct,TeachersCounsPct,TeachersLibrPct,AvgTerm,AvgAge,MasterCnt,DoctorCnt,ClassesTaughtByNotHQT,TotalClassPeriods,ClassesTaughtByHQTPct,ClassesNotTaughtBYHQTPct,TotalTerm,RosterCount,RegularRatio,SPEDRatio,Staff5Years,PrincipalCount,TotalofPeriods,TotofPeriodsNotTaughtbyHQV6Z,ClassNotTaughtbyHQTchrs
"400","2013",106,87.5,85,0,3,69.5,88,8,2,16,2,6,2,.96590909,0,.03409091,.79428571,.83018868,.09142857,.02285714,.18285714,.02285714,.06857143,.02285714,13.821591,0,38,1,0,0,0,0,1216.3,88,21.122302,8.125,57,3,316,53,.16772152
"401","2013",34,29,29,0,0,24,29,3,0,5,0,1,1,1,0,0,.82758621,.85294118,.10344828,0,.17241379,0,.03448276,.03448276,15.355172,0,11,0,0,0,0,0,445.3,29,18.291667,9.6,20,1,84,0,0
"402","2013",31,25.5,26,0,0,20.5,26,3,1,4,0,2,0,1,0,0,.80392157,.83870968,.11764706,.03921569,.15686275,0,.07843137,0,11.946154,0,9,0,0,0,0,0,310.6,26,14.780488,10.75,19,1,98,6,.06122449
"404","2013",60,53,51,0,2,44,53,4,0,9,0,2,1,.96226415,0,.03773585,.83018868,.88333333,.0754717,0,.16981132,0,.03773585,.01886792,11.183019,0,20,1,0,0,0,0,592.7,53,17.340909,8.6666667,32,2,186,13,.06989247
"405","2013",63,57,56,0,1,48,57,3,2,7,0,2,1,.98245614,0,.01754386,.84210526,.9047619,.05263158,.03508772,.12280702,0,.03508772,.01754386,12.838596,0,21,0,0,0,0,0,731.8,57,20.020833,9,29,1,229,9,.03930131
"406","2013",53,48,48,0,0,38,48,3,3,7,0,2,0,1,0,0,.79166667,.90566038,.0625,.0625,.14583333,0,.04166667,0,11.675,0,19,0,0,0,0,0,560.4,48,19.526316,8.2857143,30,1,158,4,.02531646
"407","2013",23,19,19,0,0,14,19,2,0,5,0,1,.5,1,0,0,.73684211,.82608696,.10526316,0,.26315789,0,.05263158,.02631579,12.368421,0,5,0,0,0,0,0,235,19,16.214286,5.8,14,1,70,0,0
"409","2013",68,63,63,0,0,50,63,3,5,8,0,2,0,1,0,0,.79365079,.92647059,.04761905,.07936508,.12698413,0,.03174603,0,10.314286,0,20,0,0,0,0,0,649.8,63,18.14,7.75,36,2,167,0,0
"410","2013",10,9,9,0,0,8,9,1,0,1,0,0,0,1,0,0,.88888889,.9,.11111111,0,.11111111,0,0,0,13.922222,0,2,0,0,0,0,0,125.3,9,8.25,9,6,1,35,5,.14285714
"411","2013",4,35,32,0,3,32,35,2,1,2,0,1,1,1,0,0,.25,1,0,0,.75,0,0,0,10,0,20,0,0,0,0,0,49.9,4,10.59375,10,22,2,91,11,.12087912
"412","2013",22,20,20,0,0,18,20,2,0,2,0,0,0,1,0,0,.9,.90909091,.1,0,.1,0,0,0,17.535,0,5,0,0,0,0,0,350.7,20,19.666667,12,17,1,106,0,0
"413","2013",51,43,42,0,1,30,43,4,3,10,0,3,1,.97674419,0,.02325581,.69767442,.84313725,.09302326,.06976744,.23255814,0,.06976744,.02325581,11.027907,0,20,0,0,0,0,0,474.2,43,17.866667,8.1,27,1,163,0,0
"414","2013",72,60,57,0,3,47,60,7,2,11,0,4,1,.95,0,.05,.78333333,.83333333,.11666667,.03333333,.18333333,0,.06666667,.01666667,11.631667,0,16,1,0,0,0,0,697.9,60,19.957447,11.363636,38,2,228,27,.11842105
"415","2013",49,41,37,0,4,29,41,6,2,10,0,2,0,.90243902,0,.09756098,.70731707,.83673469,.14634146,.04878049,.24390244,0,.04878049,0,10.234146,0,11,1,0,0,0,0,419.6,41,15.275862,8.7,17,1,182,30,.16483516
"416","2013",67,61,61,0,0,51,61,3,2,8,0,3,0,1,0,0,.83606557,.91044776,.04918033,.03278689,.13114754,0,.04918033,0,14.82459,0,18,0,0,0,0,0,904.3,61,18.372549,5.625,40,1,237,0,0
