SchCode,Year,SubgroupCode,GoingCountN,GoingTotalD,GoingRate,CreditCountN,CreditTotalD,CreditRate
263,2013,2,28,66,0.424242424,10,21,0.476190476
263,2013,3,2,16,0.125,0,2,0
263,2013,4,2,3,0.666666667,2,2,1
263,2013,6,3,4,0.75,0,1,0
263,2013,7,0,0,-1,0,0,-1
263,2013,8,0,0,-1,0,0,-1
263,2013,9,1,3,0.333333333,0,1,0
263,2013,10,14,54,0.259259259,3,15,0.2
263,2013,11,36,62,0.580645161,16,25,0.64
263,2013,16,2,6,0.333333333,6,6,1
263,2013,17,44,103,0.427184466,13,31,0.419354839
263,2013,19,0,0,-1,0,1,0
266,2013,1,271,383,0.707571802,107,192,0.557291667
266,2013,2,47,85,0.552941176,10,31,0.322580645
266,2013,3,10,33,0.303030303,7,18,0.388888889
266,2013,4,4,10,0.4,2,6,0.333333333
266,2013,6,2,6,0.333333333,2,5,0.4
266,2013,7,10,15,0.666666667,2,5,0.4
266,2013,8,0,0,-1,0,0,-1
266,2013,9,6,14,0.428571429,5,12,0.416666667
266,2013,10,128,188,0.680851064,40,80,0.5
266,2013,11,143,195,0.733333333,67,112,0.598214286
266,2013,16,181,236,0.766949153,78,122,0.639344262
266,2013,17,57,89,0.640449438,10,31,0.322580645
266,2013,19,15,23,0.652173913,10,17,0.588235294
272,2013,1,144,351,0.41025641,46,140,0.328571429
272,2013,2,77,206,0.373786408,19,66,0.287878788
272,2013,3,6,38,0.157894737,0,9,0
272,2013,4,4,12,0.333333333,2,4,0.5
272,2013,6,3,4,0.75,2,5,0.4
272,2013,7,4,6,0.666666667,2,2,1
272,2013,8,0,0,-1,2,2,1
272,2013,9,14,31,0.451612903,3,6,0.5
272,2013,10,69,182,0.379120879,21,62,0.338709677
272,2013,11,75,169,0.443786982,25,78,0.320512821
272,2013,16,34,62,0.548387097,13,28,0.464285714
272,2013,17,81,234,0.346153846,20,81,0.24691358
272,2013,19,8,14,0.571428571,4,16,0.25
277,2013,1,280,497,0.563380282,105,199,0.527638191
277,2013,2,117,238,0.491596639,34,75,0.453333333
277,2013,3,10,28,0.357142857,1,6,0.166666667
277,2013,4,23,72,0.319444444,4,7,0.571428571
277,2013,6,4,5,0.8,0,2,0
277,2013,7,4,7,0.571428571,2,2,1
277,2013,8,0,1,0,0,0,-1
277,2013,9,5,12,0.416666667,0,0,-1
277,2013,10,127,234,0.542735043,40,86,0.465116279
277,2013,11,153,263,0.581749049,65,113,0.575221239
277,2013,16,227,371,0.611859838,94,164,0.573170732
277,2013,17,40,101,0.396039604,6,20,0.3
277,2013,19,0,0,-1,3,11,0.272727273
292,2013,1,280,444,0.630630631,131,237,0.552742616
292,2013,2,58,122,0.475409836,14,40,0.35
292,2013,3,15,39,0.384615385,3,13,0.230769231
292,2013,4,6,11,0.545454545,1,2,0.5
292,2013,6,14,19,0.736842105,4,5,0.8
292,2013,7,8,18,0.444444444,2,9,0.222222222
292,2013,8,0,0,-1,0,0,-1
292,2013,9,47,72,0.652777778,15,26,0.576923077
