SchCode,Year,SubgroupCode,GradeCode,SubjectCode,NbrActiveTested,NbrActive,PctTested,WellBelowProf,ApproachingProf,MeetsProf,ExceedsProf,NbrMeetsExceedsProf,NbrAllProf,PctProf
101,2013,10,99,S,45,45,1,4,17,18,6,24,45,0.533333333
101,2013,9,99,S,4,5,0.8,0,2,1,1,2,4,0.5
101,2013,13,99,S,39,39,1,2,18,15,4,19,39,0.487179487
101,2013,5,99,M,206,207,0.995169082,17,44,93,52,145,206,0.703883495
101,2013,9,99,M,13,14,0.928571429,1,3,5,4,9,13,0.692307692
101,2013,8,99,R,1,1,1,0,1,0,0,0,1,0
101,2013,8,99,M,1,1,1,0,0,1,0,1,1,1
101,2013,9,99,R,14,14,1,4,2,2,6,8,14,0.571428571
101,2013,7,99,R,15,15,1,1,1,8,5,13,15,0.866666667
101,2013,7,99,M,15,15,1,1,5,7,2,9,15,0.6
101,2013,6,99,R,3,3,1,0,1,1,1,2,3,0.666666667
101,2013,6,99,M,3,3,1,0,0,3,0,3,3,1
101,2013,3,99,R,22,22,1,14,2,4,2,6,22,0.272727273
101,2013,5,99,R,207,207,1,21,39,61,86,147,207,0.710144928
101,2013,10,99,M,136,136,1,11,34,62,29,91,136,0.669117647
101,2013,4,99,R,26,26,1,11,9,5,1,6,26,0.230769231
101,2013,4,99,M,26,26,1,10,9,5,2,7,26,0.269230769
101,2013,11,99,M,102,104,0.980769231,8,18,47,29,76,102,0.745098039
101,2013,12,99,R,0,0,-1,0,0,0,0,0,0,-1
101,2013,13,99,M,105,105,1,11,29,43,22,65,105,0.619047619
101,2013,10,99,R,136,136,1,15,31,42,48,90,136,0.661764706
101,2013,12,99,M,0,0,-1,0,0,0,0,0,0,-1
101,2013,11,99,R,104,104,1,11,13,30,50,80,104,0.769230769
101,2013,1,4,R,81,81,1,7,11,16,47,63,81,0.777777778
101,2013,1,5,R,63,63,1,9,12,24,18,42,63,0.666666667
101,2013,1,4,S,80,81,0.987654321,5,30,34,11,45,80,0.5625
101,2013,1,4,M,80,81,0.987654321,6,12,34,28,62,80,0.775
101,2013,1,3,R,96,96,1,10,21,32,33,65,96,0.677083333
101,2013,1,5,M,63,63,1,6,15,30,12,42,63,0.666666667
101,2013,1,3,M,95,96,0.989583333,7,25,45,18,63,95,0.663157895
102,2011,1,4,R,40,43,0.930232558,3,6,7,24,31,40,0.775
102,2011,1,5,M,40,40,1,8,7,19,6,25,40,0.625
102,2011,1,4,M,40,43,0.930232558,2,7,23,8,31,40,0.775
102,2011,1,3,R,34,35,0.971428571,0,5,8,21,29,34,0.852941176
102,2011,1,3,M,34,35,0.971428571,1,3,17,13,30,34,0.882352941
102,2011,1,5,R,40,40,1,3,8,8,21,29,40,0.725
102,2012,1,5,M,39,42,0.928571429,3,8,24,4,28,39,0.717948718
102,2012,1,4,R,38,39,0.974358974,0,2,12,24,36,38,0.947368421
102,2012,1,4,M,38,39,0.974358974,1,2,24,11,35,38,0.921052632
102,2012,1,3,R,40,40,1,3,7,7,23,30,40,0.75
102,2012,1,3,M,40,40,1,5,3,21,11,32,40,0.8
102,2012,1,5,R,39,42,0.928571429,2,4,16,17,33,39,0.846153846
